Attendance,Exams,Major,Project,Questions,Seniority,Texting,Grade
1,71,Stat,31,Rare,Senior,Rarely,Fail
62,99,Stat,97,Always,Senior,Rarely,Fail
47,10,Stat,19,Always,Junior,Rarely,Fail
84,62,Stat,78,Always,Junior,Always,Pass
2,71,Polsci,41,Rare,Sophomore,Rarely,Pass
19,84,Comm,91,Always,Sophomore,Always,Pass
6,74,Stat,35,Rare,Freshman,Rarely,Fail
76,40,Comm,62,Always,Sophomore,Rarely,Pass
85,88,Comm,24,Rare,Senior,Always,Pass
23,44,Cs,64,Rare,Sophomore,Rarely,Fail
70,2,Polsci,13,Rare,Senior,Rarely,Fail
73,61,Comm,7,Always,Senior,Rarely,Fail
27,85,Comm,17,Rare,Junior,Rarely,Fail
28,1,Polsci,71,Rare,Senior,Always,Fail
8,1,Polsci,84,Rare,Freshman,Always,Fail
56,58,Polsci,92,Always,Freshman,Always,Pass
14,51,Polsci,9,Always,Junior,Rarely,Pass
52,33,Polsci,76,Always,Sophomore,Rarely,Pass
90,16,Stat,92,Always,Sophomore,Always,Fail
70,24,Comm,76,Always,Freshman,Rarely,Pass
64,13,Cs,23,Always,Junior,Rarely,Fail
32,85,Cs,89,Rare,Freshman,Always,Pass
5,57,Comm,49,Always,Senior,Always,Pass
48,14,Comm,91,Rare,Senior,Always,Pass
43,59,Comm,15,Always,Sophomore,Rarely,Fail
78,50,Comm,43,Rare,Senior,Rarely,Pass
58,69,Cs,67,Rare,Sophomore,Rarely,Pass
88,18,Cs,11,Rare,Junior,Rarely,Fail
57,77,Stat,14,Always,Junior,Rarely,Fail
4,42,Cs,60,Rare,Sophomore,Always,Fail
81,33,Comm,42,Always,Sophomore,Rarely,Pass
50,14,Stat,81,Rare,Senior,Rarely,Fail
7,89,Comm,37,Always,Senior,Rarely,Pass
82,4,Stat,27,Always,Senior,Rarely,Fail
6,23,Polsci,6,Always,Junior,Always,Pass
20,14,Polsci,44,Rare,Freshman,Always,Fail
2,39,Comm,60,Always,Senior,Always,Pass
92,31,Comm,12,Always,Senior,Rarely,Fail
2,80,Comm,32,Always,Junior,Always,Pass
80,53,Polsci,57,Rare,Junior,Always,Pass
14,10,Comm,42,Always,Junior,Always,Pass
14,64,Stat,86,Rare,Junior,Rarely,Pass
55,73,Cs,79,Always,Senior,Rarely,Pass
32,21,Comm,85,Rare,Freshman,Rarely,Pass
58,58,Polsci,21,Always,Sophomore,Always,Pass
16,82,Cs,69,Always,Senior,Rarely,Fail
98,87,Polsci,53,Rare,Freshman,Always,Pass
79,64,Polsci,80,Always,Sophomore,Always,Pass
41,89,Cs,61,Rare,Sophomore,Rarely,Pass
22,21,Stat,64,Always,Sophomore,Rarely,Fail
41,59,Stat,6,Rare,Freshman,Rarely,Fail
58,5,Comm,48,Rare,Junior,Always,Pass
16,76,Cs,83,Rare,Senior,Rarely,Pass
56,71,Polsci,88,Rare,Freshman,Rarely,Fail
59,14,Comm,51,Always,Sophomore,Always,Pass
47,32,Comm,17,Always,Freshman,Always,Fail
22,66,Cs,22,Rare,Senior,Always,Fail
15,59,Comm,96,Rare,Freshman,Always,Pass
50,16,Stat,30,Always,Junior,Rarely,Fail
72,74,Cs,54,Rare,Senior,Always,Fail
0,61,Comm,53,Always,Junior,Rarely,Fail
8,43,Cs,95,Rare,Freshman,Always,Fail
64,16,Stat,1,Always,Junior,Rarely,Fail
52,94,Comm,88,Always,Senior,Rarely,Pass
51,69,Stat,79,Rare,Junior,Always,Pass
94,19,Polsci,30,Rare,Senior,Rarely,Fail
63,8,Stat,92,Rare,Senior,Always,Fail
13,0,Comm,8,Rare,Senior,Always,Pass
55,69,Polsci,99,Rare,Sophomore,Always,Pass
61,13,Polsci,51,Rare,Senior,Always,Fail
94,89,Stat,98,Always,Junior,Rarely,Pass
93,23,Cs,70,Rare,Senior,Always,Fail
53,54,Stat,48,Always,Junior,Rarely,Fail
17,22,Comm,62,Rare,Sophomore,Rarely,Pass
89,57,Polsci,78,Rare,Junior,Always,Pass
63,53,Cs,34,Always,Senior,Always,Fail
81,86,Comm,11,Always,Junior,Always,Fail
38,28,Polsci,33,Rare,Freshman,Rarely,Fail
28,0,Polsci,85,Always,Senior,Rarely,Pass
23,85,Polsci,15,Always,Senior,Rarely,Pass
21,21,Comm,97,Rare,Senior,Rarely,Pass
88,97,Polsci,31,Rare,Senior,Rarely,Pass
26,26,Cs,82,Always,Freshman,Always,Fail
90,50,Polsci,35,Rare,Freshman,Rarely,Fail
39,19,Stat,70,Always,Junior,Always,Fail
53,70,Polsci,26,Rare,Junior,Always,Fail
77,9,Stat,95,Rare,Sophomore,Rarely,Fail
58,36,Cs,6,Rare,Sophomore,Always,Fail
85,98,Stat,65,Rare,Senior,Rarely,Pass
52,89,Stat,85,Always,Junior,Always,Fail
30,28,Polsci,16,Always,Senior,Rarely,Pass
58,86,Comm,47,Always,Junior,Rarely,Pass
19,33,Stat,6,Rare,Senior,Rarely,Fail
43,93,Polsci,92,Rare,Junior,Rarely,Pass
37,6,Stat,85,Rare,Sophomore,Always,Fail
18,95,Stat,64,Always,Senior,Rarely,Fail
51,23,Stat,6,Always,Sophomore,Always,Fail
78,81,Cs,60,Rare,Senior,Rarely,Pass
98,69,Stat,69,Rare,Sophomore,Always,Pass
75,36,Stat,41,Always,Junior,Always,Fail
59,73,Comm,93,Rare,Freshman,Always,Pass
35,12,Cs,44,Rare,Senior,Always,Fail
7,45,Polsci,93,Rare,Junior,Always,Pass
64,98,Polsci,12,Always,Senior,Always,Pass
59,24,Stat,39,Rare,Senior,Always,Fail
55,0,Stat,53,Always,Freshman,Always,Fail
96,35,Polsci,29,Rare,Freshman,Always,Fail
2,92,Comm,3,Always,Freshman,Rarely,Fail
40,12,Polsci,80,Rare,Freshman,Always,Fail
44,97,Comm,63,Always,Freshman,Always,Pass
10,41,Comm,92,Rare,Sophomore,Rarely,Pass
66,64,Cs,72,Rare,Junior,Rarely,Fail
80,4,Comm,32,Always,Junior,Rarely,Fail
4,11,Comm,91,Rare,Sophomore,Always,Pass
63,13,Polsci,37,Rare,Freshman,Always,Fail
10,8,Stat,60,Rare,Sophomore,Rarely,Fail
74,23,Stat,80,Rare,Freshman,Rarely,Fail
68,24,Polsci,83,Rare,Freshman,Rarely,Pass
35,52,Polsci,81,Always,Junior,Rarely,Fail
85,55,Stat,94,Always,Sophomore,Rarely,Pass
81,100,Stat,61,Always,Sophomore,Always,Pass
89,17,Polsci,38,Rare,Freshman,Always,Fail
8,88,Comm,37,Always,Senior,Always,Fail
47,86,Cs,32,Rare,Senior,Rarely,Pass
9,41,Stat,36,Rare,Sophomore,Always,Fail
75,89,Stat,33,Always,Senior,Rarely,Pass
47,72,Comm,6,Rare,Junior,Rarely,Fail
25,11,Stat,49,Rare,Senior,Rarely,Fail
10,2,Comm,9,Rare,Sophomore,Always,Fail
93,56,Polsci,38,Rare,Sophomore,Rarely,Fail
23,65,Stat,64,Rare,Junior,Always,Pass
89,21,Polsci,90,Rare,Freshman,Always,Pass
15,100,Comm,30,Rare,Senior,Rarely,Pass
50,56,Cs,54,Rare,Sophomore,Rarely,Pass
41,36,Cs,12,Rare,Sophomore,Always,Fail
91,76,Stat,61,Rare,Junior,Always,Pass
9,18,Comm,45,Rare,Freshman,Always,Pass
75,10,Stat,42,Always,Sophomore,Rarely,Fail
0,39,Comm,23,Rare,Junior,Rarely,Fail
60,68,Cs,56,Rare,Junior,Always,Fail
84,9,Cs,24,Always,Junior,Always,Fail
47,84,Cs,45,Rare,Junior,Always,Pass
39,53,Cs,11,Always,Senior,Always,Fail
30,29,Polsci,40,Always,Junior,Rarely,Pass
50,24,Cs,97,Rare,Junior,Always,Fail
74,65,Comm,97,Rare,Sophomore,Always,Pass
37,91,Cs,91,Always,Freshman,Always,Fail
47,21,Stat,36,Always,Freshman,Always,Fail
15,35,Stat,10,Always,Freshman,Always,Fail
72,31,Cs,36,Rare,Senior,Always,Fail
95,80,Cs,26,Always,Sophomore,Rarely,Pass
26,40,Comm,2,Always,Sophomore,Rarely,Fail
45,29,Comm,21,Rare,Freshman,Rarely,Fail
49,66,Cs,34,Always,Freshman,Rarely,Fail
95,25,Stat,62,Rare,Freshman,Always,Fail
71,1,Cs,91,Always,Sophomore,Rarely,Fail
23,30,Cs,52,Always,Senior,Always,Fail
96,98,Polsci,17,Rare,Freshman,Rarely,Fail
18,75,Cs,54,Always,Senior,Always,Pass
43,96,Stat,11,Always,Freshman,Always,Pass
86,85,Stat,42,Rare,Sophomore,Rarely,Pass
93,30,Polsci,75,Always,Junior,Rarely,Pass
28,91,Polsci,95,Rare,Freshman,Rarely,Pass
96,80,Polsci,11,Rare,Freshman,Rarely,Fail
67,6,Stat,57,Rare,Sophomore,Rarely,Fail
13,18,Polsci,35,Always,Senior,Rarely,Pass
69,15,Polsci,7,Rare,Sophomore,Always,Fail
36,45,Cs,97,Rare,Freshman,Rarely,Fail
21,1,Comm,67,Rare,Freshman,Rarely,Pass
7,9,Stat,48,Rare,Senior,Rarely,Fail
16,65,Polsci,63,Rare,Junior,Always,Pass
52,20,Comm,80,Rare,Senior,Rarely,Pass
27,85,Stat,23,Rare,Junior,Always,Pass
12,8,Cs,70,Always,Senior,Rarely,Fail
47,55,Comm,90,Rare,Sophomore,Rarely,Pass
98,6,Cs,41,Rare,Senior,Rarely,Fail
95,1,Cs,59,Rare,Junior,Always,Fail
62,37,Cs,69,Always,Freshman,Rarely,Pass
40,35,Polsci,54,Always,Senior,Always,Pass
71,2,Cs,7,Rare,Junior,Always,Fail
96,93,Cs,19,Always,Freshman,Rarely,Pass
44,45,Stat,67,Rare,Sophomore,Always,Fail
91,74,Cs,89,Always,Freshman,Always,Pass
32,84,Polsci,35,Rare,Senior,Always,Fail
77,14,Comm,77,Always,Freshman,Rarely,Fail
55,85,Cs,1,Always,Sophomore,Always,Pass
39,89,Comm,99,Rare,Freshman,Rarely,Pass
89,72,Comm,55,Rare,Junior,Rarely,Pass
38,13,Polsci,4,Always,Sophomore,Rarely,Pass
19,4,Stat,72,Always,Sophomore,Always,Fail
98,44,Cs,53,Rare,Senior,Rarely,Fail
6,71,Stat,98,Rare,Sophomore,Always,Fail
96,81,Stat,77,Rare,Senior,Always,Fail
84,33,Stat,64,Always,Freshman,Rarely,Fail
53,44,Stat,45,Always,Freshman,Rarely,Fail
48,96,Stat,46,Always,Sophomore,Rarely,Pass
95,90,Polsci,50,Rare,Sophomore,Always,Fail
82,85,Polsci,62,Rare,Freshman,Always,Pass
23,58,Stat,8,Rare,Senior,Always,Fail
96,11,Cs,68,Rare,Sophomore,Always,Fail
33,88,Cs,78,Always,Senior,Always,Pass
43,85,Polsci,12,Always,Senior,Always,Pass
56,44,Polsci,31,Rare,Freshman,Rarely,Fail
87,61,Stat,55,Always,Junior,Always,Fail
22,86,Polsci,20,Rare,Freshman,Rarely,Pass
29,74,Cs,47,Always,Sophomore,Rarely,Pass
47,40,Polsci,95,Rare,Sophomore,Rarely,Fail
99,92,Stat,32,Rare,Senior,Rarely,Pass
22,90,Cs,27,Rare,Senior,Rarely,Pass
33,59,Polsci,81,Rare,Senior,Rarely,Pass
100,15,Cs,7,Always,Junior,Rarely,Fail
11,25,Comm,49,Rare,Freshman,Always,Pass
91,50,Polsci,82,Always,Freshman,Always,Pass
37,20,Stat,25,Always,Senior,Rarely,Fail
93,6,Comm,94,Rare,Sophomore,Always,Pass
73,72,Comm,26,Rare,Senior,Always,Pass
7,61,Stat,86,Rare,Freshman,Rarely,Pass
91,78,Comm,48,Rare,Senior,Always,Pass
58,3,Comm,24,Always,Junior,Rarely,Fail
4,92,Polsci,57,Always,Junior,Always,Pass
2,62,Comm,90,Rare,Senior,Always,Pass
1,16,Cs,91,Rare,Freshman,Always,Fail
61,53,Polsci,53,Always,Senior,Rarely,Pass
8,62,Stat,95,Always,Junior,Rarely,Pass
30,4,Stat,76,Rare,Freshman,Rarely,Fail
4,89,Comm,77,Rare,Sophomore,Always,Pass
31,74,Polsci,78,Rare,Freshman,Always,Pass
5,27,Cs,17,Rare,Sophomore,Always,Fail
42,35,Polsci,16,Always,Sophomore,Always,Pass
44,11,Comm,69,Always,Junior,Always,Pass
23,21,Polsci,63,Rare,Freshman,Rarely,Fail
93,60,Polsci,32,Always,Freshman,Always,Pass
3,18,Stat,13,Always,Freshman,Always,Fail
68,74,Comm,33,Always,Junior,Always,Pass
64,41,Comm,83,Always,Junior,Always,Pass
65,28,Comm,97,Always,Sophomore,Rarely,Pass
98,69,Polsci,4,Rare,Freshman,Always,Fail
45,94,Stat,14,Always,Freshman,Always,Pass
6,30,Comm,50,Rare,Junior,Always,Fail
57,56,Cs,95,Rare,Freshman,Always,Fail
18,82,Cs,73,Always,Sophomore,Always,Pass
54,79,Cs,23,Rare,Sophomore,Always,Pass
2,100,Comm,6,Rare,Freshman,Always,Pass
25,4,Stat,62,Rare,Senior,Always,Fail
33,55,Polsci,57,Rare,Senior,Always,Pass
8,53,Cs,40,Rare,Junior,Always,Fail
54,74,Comm,70,Rare,Senior,Always,Pass
63,62,Cs,56,Always,Senior,Rarely,Fail
68,47,Polsci,92,Always,Sophomore,Rarely,Fail
56,17,Comm,99,Always,Junior,Rarely,Fail
22,30,Stat,68,Rare,Freshman,Always,Fail
19,75,Stat,28,Always,Junior,Rarely,Fail
0,24,Polsci,90,Always,Freshman,Always,Pass
44,50,Cs,17,Always,Sophomore,Rarely,Fail
48,42,Stat,4,Always,Sophomore,Always,Fail
42,75,Stat,36,Rare,Junior,Rarely,Fail
26,96,Cs,31,Rare,Senior,Always,Pass
32,87,Cs,28,Always,Junior,Rarely,Pass
100,24,Cs,58,Rare,Senior,Always,Fail
51,39,Polsci,32,Always,Senior,Always,Pass
98,37,Cs,59,Always,Freshman,Always,Fail
83,7,Comm,39,Always,Junior,Rarely,Fail
0,12,Cs,72,Rare,Sophomore,Rarely,Fail
40,81,Polsci,34,Always,Senior,Rarely,Fail
58,31,Comm,63,Rare,Senior,Always,Fail
18,3,Comm,17,Always,Junior,Always,Pass
45,56,Polsci,64,Rare,Freshman,Always,Fail
96,94,Stat,17,Rare,Junior,Rarely,Fail
15,34,Comm,65,Rare,Sophomore,Always,Pass
59,20,Comm,22,Always,Sophomore,Rarely,Fail
70,70,Cs,49,Rare,Junior,Always,Fail
32,63,Comm,77,Always,Sophomore,Always,Pass
79,12,Stat,43,Always,Freshman,Always,Fail
9,22,Cs,94,Rare,Sophomore,Rarely,Fail
16,93,Cs,56,Rare,Senior,Rarely,Pass
60,4,Cs,57,Always,Junior,Always,Fail
88,24,Cs,45,Rare,Junior,Rarely,Fail
20,42,Stat,27,Rare,Senior,Rarely,Fail
45,38,Stat,10,Always,Sophomore,Rarely,Fail
8,97,Stat,27,Rare,Senior,Rarely,Pass
86,88,Polsci,42,Rare,Freshman,Always,Pass
10,94,Cs,64,Rare,Freshman,Always,Pass
75,57,Stat,86,Rare,Sophomore,Rarely,Pass
55,88,Cs,42,Rare,Sophomore,Always,Pass
36,67,Stat,35,Always,Senior,Rarely,Fail
45,68,Cs,100,Always,Freshman,Always,Fail
74,22,Stat,43,Rare,Sophomore,Always,Fail
82,68,Comm,54,Rare,Freshman,Always,Pass
27,88,Comm,76,Always,Freshman,Always,Pass
81,56,Cs,33,Always,Senior,Rarely,Fail
17,79,Stat,53,Rare,Sophomore,Rarely,Fail
25,4,Comm,15,Always,Junior,Rarely,Fail
92,1,Comm,68,Always,Junior,Always,Pass
74,29,Stat,39,Always,Senior,Always,Fail
42,6,Stat,2,Rare,Senior,Rarely,Fail
22,100,Polsci,87,Rare,Freshman,Rarely,Pass
15,63,Polsci,93,Rare,Sophomore,Always,Pass
89,17,Polsci,17,Rare,Freshman,Always,Fail
11,67,Polsci,99,Always,Junior,Rarely,Fail
34,2,Stat,33,Rare,Senior,Always,Fail
95,93,Stat,31,Rare,Senior,Rarely,Fail
50,32,Stat,79,Always,Freshman,Rarely,Fail
48,3,Cs,98,Always,Sophomore,Rarely,Fail
32,49,Comm,99,Always,Junior,Always,Pass
6,42,Polsci,78,Always,Senior,Rarely,Fail
64,42,Cs,94,Rare,Freshman,Always,Fail
12,2,Comm,13,Rare,Senior,Always,Fail
55,58,Cs,72,Rare,Freshman,Always,Fail
60,64,Comm,42,Always,Junior,Always,Pass
21,38,Cs,81,Always,Freshman,Always,Fail
64,96,Comm,62,Rare,Senior,Always,Pass
82,27,Cs,51,Rare,Junior,Always,Fail
45,69,Cs,30,Rare,Sophomore,Rarely,Pass
32,36,Cs,12,Rare,Senior,Always,Fail
33,4,Comm,5,Rare,Senior,Always,Pass
82,58,Stat,69,Rare,Junior,Always,Pass
46,98,Cs,4,Rare,Sophomore,Rarely,Pass
98,66,Stat,62,Always,Senior,Rarely,Pass
34,83,Comm,66,Rare,Freshman,Always,Pass
44,36,Cs,79,Rare,Senior,Rarely,Fail
33,18,Polsci,80,Rare,Sophomore,Always,Fail
64,28,Stat,95,Rare,Freshman,Always,Fail
16,15,Cs,51,Rare,Senior,Always,Fail
8,48,Stat,67,Rare,Junior,Rarely,Fail
7,6,Cs,34,Rare,Junior,Always,Fail
54,68,Polsci,1,Rare,Senior,Always,Fail
30,28,Comm,44,Always,Junior,Rarely,Pass
89,82,Comm,15,Rare,Junior,Always,Pass
56,60,Polsci,74,Rare,Sophomore,Always,Pass
50,62,Comm,83,Rare,Junior,Rarely,Pass
19,26,Comm,9,Rare,Freshman,Always,Fail
42,21,Cs,1,Rare,Sophomore,Rarely,Fail
45,46,Stat,40,Always,Freshman,Always,Fail
22,68,Stat,41,Rare,Senior,Always,Fail
29,28,Polsci,0,Rare,Sophomore,Rarely,Fail
63,90,Cs,77,Always,Freshman,Rarely,Pass
23,40,Polsci,8,Always,Sophomore,Always,Pass
12,85,Polsci,28,Rare,Sophomore,Always,Fail
9,43,Polsci,1,Rare,Junior,Rarely,Fail
29,63,Cs,42,Rare,Sophomore,Rarely,Pass
31,25,Comm,55,Rare,Junior,Rarely,Fail
78,92,Cs,82,Rare,Sophomore,Rarely,Pass
68,91,Cs,77,Always,Freshman,Rarely,Pass
11,5,Comm,62,Always,Junior,Always,Pass
99,75,Cs,86,Always,Junior,Always,Pass
33,60,Cs,29,Always,Senior,Rarely,Fail
66,83,Stat,66,Always,Sophomore,Rarely,Pass
74,76,Polsci,10,Rare,Sophomore,Always,Fail
100,97,Comm,89,Always,Senior,Always,Pass
62,18,Polsci,24,Always,Junior,Always,Pass
32,84,Comm,21,Always,Junior,Rarely,Fail
98,83,Comm,20,Always,Sophomore,Always,Fail
64,68,Stat,39,Always,Senior,Rarely,Fail
9,51,Polsci,100,Rare,Freshman,Rarely,Pass
94,60,Stat,36,Always,Freshman,Always,Fail
92,46,Polsci,25,Always,Freshman,Always,Pass
92,54,Stat,95,Rare,Senior,Rarely,Fail
65,93,Cs,5,Rare,Senior,Rarely,Pass
34,40,Polsci,4,Always,Freshman,Always,Pass
74,57,Polsci,39,Always,Freshman,Always,Pass
38,16,Stat,38,Always,Freshman,Rarely,Fail
27,51,Cs,76,Always,Junior,Always,Fail
19,5,Comm,47,Always,Senior,Rarely,Fail
2,58,Stat,16,Always,Freshman,Always,Fail
76,68,Stat,91,Rare,Senior,Always,Pass
34,99,Comm,9,Rare,Sophomore,Rarely,Fail
54,57,Polsci,75,Always,Freshman,Rarely,Fail
37,47,Polsci,7,Always,Freshman,Always,Pass
70,0,Polsci,71,Always,Sophomore,Always,Pass
78,61,Cs,100,Always,Sophomore,Rarely,Pass
63,4,Comm,37,Always,Freshman,Rarely,Fail
45,58,Comm,49,Rare,Senior,Always,Pass
41,10,Polsci,70,Rare,Freshman,Always,Fail
60,57,Stat,22,Rare,Freshman,Always,Fail
47,14,Comm,41,Always,Junior,Always,Pass
49,23,Comm,23,Always,Freshman,Rarely,Fail
93,31,Comm,28,Rare,Senior,Always,Pass
32,38,Cs,8,Always,Freshman,Rarely,Fail
13,5,Stat,81,Always,Junior,Always,Fail
58,79,Polsci,86,Always,Senior,Rarely,Pass
32,76,Polsci,43,Always,Sophomore,Always,Pass
11,77,Polsci,49,Always,Sophomore,Rarely,Pass
81,51,Stat,76,Rare,Junior,Always,Fail
76,69,Comm,12,Always,Senior,Rarely,Fail
6,97,Polsci,58,Always,Senior,Rarely,Fail
37,20,Stat,37,Always,Sophomore,Always,Fail
93,31,Comm,36,Rare,Senior,Always,Pass
48,1,Comm,78,Rare,Senior,Always,Pass
50,61,Comm,78,Always,Senior,Always,Pass
69,26,Cs,43,Always,Junior,Always,Fail
32,56,Stat,58,Always,Junior,Rarely,Fail
22,85,Comm,5,Always,Senior,Rarely,Fail
71,56,Comm,36,Always,Senior,Always,Pass
83,46,Polsci,27,Rare,Freshman,Always,Fail
32,87,Cs,59,Rare,Senior,Rarely,Pass
20,22,Comm,90,Rare,Sophomore,Always,Pass
68,46,Stat,63,Rare,Senior,Rarely,Fail
48,39,Polsci,72,Rare,Sophomore,Always,Fail
68,78,Polsci,20,Always,Junior,Always,Pass
99,32,Stat,9,Rare,Junior,Rarely,Fail
34,64,Cs,40,Rare,Freshman,Rarely,Fail
21,26,Polsci,90,Always,Sophomore,Rarely,Pass
94,54,Comm,32,Rare,Freshman,Rarely,Fail
7,66,Stat,34,Always,Junior,Always,Fail
3,36,Comm,22,Always,Sophomore,Always,Pass
71,70,Polsci,35,Rare,Freshman,Always,Pass
51,91,Cs,59,Always,Freshman,Rarely,Pass
100,97,Stat,28,Rare,Freshman,Always,Pass
22,97,Polsci,3,Always,Sophomore,Rarely,Pass
89,65,Polsci,6,Always,Freshman,Rarely,Pass
81,36,Comm,99,Rare,Senior,Always,Pass
99,26,Stat,100,Always,Freshman,Always,Fail
39,98,Stat,30,Always,Junior,Always,Pass
48,77,Cs,76,Rare,Senior,Rarely,Pass
62,89,Stat,93,Always,Junior,Rarely,Pass
26,33,Polsci,78,Always,Junior,Rarely,Pass
47,14,Polsci,95,Always,Senior,Always,Pass
93,43,Stat,65,Rare,Junior,Rarely,Fail
80,81,Stat,6,Always,Senior,Rarely,Fail
15,63,Stat,15,Always,Junior,Rarely,Fail
35,9,Polsci,50,Rare,Freshman,Always,Fail
20,57,Cs,92,Always,Freshman,Rarely,Fail
33,68,Stat,12,Rare,Senior,Rarely,Fail
87,54,Polsci,60,Always,Junior,Always,Pass
28,31,Cs,91,Rare,Sophomore,Always,Fail
47,70,Cs,29,Rare,Senior,Rarely,Fail
51,20,Stat,57,Always,Junior,Rarely,Fail
26,97,Cs,80,Rare,Freshman,Rarely,Pass
82,23,Polsci,75,Rare,Junior,Rarely,Fail
26,33,Stat,42,Always,Junior,Rarely,Fail
47,44,Stat,16,Rare,Sophomore,Rarely,Fail
65,73,Cs,47,Rare,Freshman,Always,Fail
8,13,Stat,53,Rare,Junior,Always,Fail
43,98,Comm,38,Always,Senior,Always,Pass
83,10,Polsci,78,Always,Freshman,Rarely,Pass
11,0,Polsci,9,Rare,Senior,Always,Fail
25,38,Polsci,13,Always,Junior,Rarely,Pass
26,47,Stat,36,Always,Sophomore,Rarely,Fail
93,65,Polsci,28,Rare,Freshman,Always,Fail
63,54,Stat,23,Rare,Sophomore,Rarely,Fail
36,86,Comm,76,Always,Sophomore,Rarely,Pass
5,14,Cs,7,Always,Freshman,Always,Fail
38,67,Cs,5,Always,Freshman,Always,Fail
