Connections,Education,GPA,GradYear,Earnings
75,Business,1,1935,10005
79,Vocational,4,1931,13400
70,Stem,2,1910,9800
79,Stem,4,1996,20400
15,Professional,3,1927,11700
1,Vocational,0,1998,13000
13,Business,4,1919,10009
53,Stem,4,1967,20400
100,Stem,2,1974,9800
24,Humanities,2,1991,10200
92,Vocational,1,1946,13100
60,Business,3,1947,10009
69,Professional,3,1992,11700
50,Stem,4,1908,20400
37,Professional,2,1983,11800
23,Business,0,2004,10008
65,Humanities,3,1946,10300
100,Professional,1,1910,11900
83,Vocational,2,1988,13200
93,Professional,4,1929,11600
37,Business,1,2016,10109
98,Professional,4,1904,11600
48,Vocational,1,1946,13100
44,Business,1,1931,10002
69,Vocational,3,1956,13300
15,Vocational,4,1909,13400
35,Vocational,2,1994,13200
41,Other,4,1916,2181
46,Professional,1,1971,11900
59,Other,3,1983,3981
44,Other,0,1993,2436
33,Other,4,1951,1589
58,Vocational,0,1947,13000
63,Humanities,2,2008,20200
50,Stem,0,1995,10000
97,Humanities,1,1956,10100
76,Business,2,1907,10005
95,Business,4,1968,10406
35,Professional,0,1934,12000
96,Humanities,0,1940,10000
3,Business,1,1914,10102
26,Business,1,1998,10109
85,Humanities,2,1916,10200
81,Vocational,4,1922,13400
60,Business,1,1917,10006
69,Business,3,1991,10005
54,Stem,3,1975,20300
17,Stem,1,1978,9900
49,Business,4,1922,10402
85,Other,4,1982,7725
84,Professional,1,1919,11900
48,Professional,4,1982,11600
19,Stem,0,1973,10000
14,Stem,2,1977,9800
7,Other,3,1983,549
65,Humanities,1,1970,10100
38,Business,3,2019,10004
74,Humanities,3,1904,10300
46,Stem,1,1973,9900
25,Vocational,3,1998,13300
95,Other,3,1952,9525
62,Professional,1,1931,11900
97,Humanities,3,2003,20300
58,Professional,3,1931,11700
40,Humanities,1,1909,10100
77,Business,4,1918,10402
29,Business,4,1959,10005
38,Stem,3,1930,20300
63,Humanities,2,1934,10200
93,Business,4,2012,10403
99,Professional,4,1904,11600
47,Other,4,2020,2709
75,Business,4,1966,10409
68,Humanities,3,1968,10300
67,Vocational,0,1924,13000
24,Stem,3,1909,20300
63,Professional,3,1925,11700
62,Stem,4,1978,20400
0,Humanities,3,1947,10300
36,Stem,1,2015,9900
28,Other,3,2007,1284
45,Professional,3,1916,11700
99,Vocational,2,1992,13200
45,Humanities,1,1954,10100
23,Other,0,2000,1029
17,Professional,1,1991,11900
56,Other,1,1989,3636
61,Humanities,2,1964,10200
23,Humanities,4,1944,10400
31,Vocational,1,1991,13100
77,Business,1,2004,10108
44,Stem,0,2005,10000
66,Business,3,1989,10006
17,Business,0,2012,10004
35,Vocational,4,1937,13400
16,Vocational,3,1994,13300
9,Other,1,1920,581
100,Professional,1,1973,11900
25,Business,4,1983,10004
37,Professional,3,1901,11700
77,Stem,4,1978,20400
70,Vocational,0,1920,13000
14,Business,3,1982,10305
6,Business,3,1982,10305
90,Professional,0,2011,12000
58,Stem,3,1961,20300
5,Other,2,1926,525
65,Humanities,3,1900,10300
70,Stem,3,2003,20300
61,Humanities,2,2000,20200
28,Business,3,1967,10003
67,Humanities,4,1959,10400
8,Business,2,1983,10007
73,Other,3,1983,5829
68,Stem,3,1946,20300
74,Other,3,1920,5976
4,Other,4,1906,516
42,Professional,2,2009,11800
17,Other,2,1952,789
21,Professional,4,1994,11600
43,Professional,1,1902,11900
63,Other,0,1904,4469
32,Vocational,1,1970,13100
23,Stem,4,2018,20400
61,Business,4,1975,10007
68,Humanities,2,1992,10200
33,Humanities,0,1997,10000
74,Other,3,1927,5976
82,Vocational,3,1964,13300
0,Vocational,3,1946,12700
95,Business,1,1921,10006
97,Business,0,1934,10002
86,Stem,3,1936,20300
55,Humanities,3,1993,10300
29,Vocational,0,1918,13000
80,Humanities,1,1902,10100
10,Stem,3,1992,20300
51,Business,1,1913,10004
97,Humanities,3,1986,10300
30,Business,3,1957,10004
79,Stem,2,1991,9800
30,Other,4,1924,1400
72,Business,0,1930,10004
19,Stem,4,1996,20400
6,Business,3,1958,10302
29,Stem,2,2016,9800
75,Vocational,0,1903,13000
87,Professional,2,1917,11800
52,Humanities,3,1934,10300
80,Vocational,2,1910,13200
13,Stem,4,1905,20400
81,Business,2,1984,10207
29,Stem,1,1942,9900
22,Professional,1,1960,11900
55,Stem,2,2015,9800
24,Stem,1,2016,9900
8,Professional,0,1994,12000
70,Other,4,1979,5400
28,Business,1,1999,10005
39,Professional,1,1902,11900
100,Business,3,1973,10009
94,Professional,3,1941,11700
43,Professional,3,1961,11700
67,Humanities,4,1973,10400
77,Stem,1,2000,9900
100,Professional,1,1958,11900
42,Business,4,1938,10405
49,Business,1,1900,10106
65,Humanities,2,1919,10200
79,Business,1,1960,10106
71,Vocational,3,1959,13300
44,Business,4,1959,10002
30,Stem,4,2016,20400
62,Stem,0,2003,10000
70,Vocational,3,2004,13300
98,Humanities,4,1994,10400
30,Humanities,3,1967,10300
87,Vocational,2,1936,13200
81,Stem,0,1957,10000
20,Stem,2,1979,9800
60,Professional,2,1932,11800
71,Other,1,1961,5541
85,Other,2,1902,7725
94,Other,3,1936,9336
8,Humanities,1,1965,10100
7,Humanities,1,2002,20100
68,Humanities,0,1962,10000
30,Vocational,0,1993,13000
92,Vocational,4,1923,13400
85,Business,3,1921,10003
17,Humanities,4,2019,20400
79,Humanities,3,1979,10300
93,Other,0,1982,9149
64,Other,0,2018,4596
39,Vocational,4,1954,13400
35,Professional,4,1997,11600
52,Humanities,3,1902,10300
44,Professional,3,1926,11700
44,Professional,2,1925,11800
61,Business,2,1976,10204
53,Business,4,1916,10407
7,Other,2,1917,549
74,Vocational,4,1939,13400
92,Humanities,0,1970,10000
72,Other,1,2011,5684
74,Stem,0,1992,10000
45,Vocational,3,1908,13300
65,Stem,3,2001,20300
50,Stem,4,2016,20400
46,Professional,4,2003,11600
95,Stem,3,1933,20300
93,Stem,3,2018,20300
62,Vocational,0,1998,13000
28,Stem,4,1992,20400
16,Vocational,2,1985,13200
53,Humanities,3,1972,10300
68,Humanities,1,1940,10100
31,Business,0,1944,10008
55,Vocational,1,2001,13100
23,Business,1,1913,10009
75,Vocational,4,1904,13400
32,Business,0,1988,10007
60,Humanities,1,1973,10100
81,Other,4,1938,7061
100,Stem,1,1904,9900
16,Other,2,1991,756
33,Vocational,2,1907,13200
47,Vocational,4,1998,13400
94,Business,4,1974,10403
60,Stem,3,1939,20300
64,Vocational,1,1981,13100
24,Stem,3,1938,20300
55,Humanities,0,1982,10000
64,Stem,0,1968,10000
59,Humanities,1,1940,10100
20,Stem,1,1955,9900
88,Humanities,2,1978,10200
96,Vocational,2,1904,13200
94,Stem,4,1970,20400
14,Professional,0,1989,12000
63,Humanities,4,1909,10400
62,Other,4,1909,4344
76,Humanities,2,1956,10200
81,Humanities,3,1971,10300
96,Business,0,1976,10007
70,Vocational,2,1945,13200
24,Humanities,1,1960,10100
42,Other,2,2009,2264
92,Other,4,1972,8964
51,Professional,3,1911,11700
54,Professional,4,1979,11600
13,Business,4,1996,10405
37,Humanities,0,1998,10000
1,Vocational,3,1949,12700
64,Vocational,2,2008,13200
96,Humanities,4,1993,10400
67,Vocational,1,1980,13100
83,Business,3,1986,10305
4,Humanities,0,1928,10000
42,Stem,1,1910,9900
92,Stem,4,1930,20400
26,Stem,3,1929,20300
73,Other,2,1905,5829
60,Stem,1,1940,9900
13,Professional,2,2000,11800
55,Stem,0,1983,10000
9,Stem,1,1943,9900
53,Professional,1,1972,11900
89,Business,0,1985,10008
84,Professional,0,1942,12000
70,Humanities,0,1950,10000
47,Other,2,1917,2709
55,Stem,2,1909,9800
56,Humanities,4,1968,10400
95,Other,3,1981,9525
92,Professional,1,1945,11900
66,Humanities,3,1906,10300
48,Professional,1,1927,11900
38,Stem,2,1919,9800
54,Stem,3,2020,20300
62,Stem,1,1944,9900
45,Professional,3,2007,11700
54,Other,1,1927,3416
37,Other,0,1907,1869
61,Stem,0,2005,10000
13,Vocational,4,1937,13400
10,Professional,4,2018,11600
70,Vocational,1,2002,13100
83,Vocational,3,1985,13300
54,Business,2,1947,10004
38,Stem,1,1922,9900
8,Stem,3,1903,20300
27,Other,2,2010,1229
6,Other,3,1935,536
4,Vocational,1,1951,12900
16,Other,1,1968,756
77,Humanities,3,1981,10300
23,Other,3,1906,1029
12,Business,4,1987,10008
7,Business,4,1915,10003
23,Professional,4,1974,11600
78,Stem,3,1913,20300
85,Vocational,1,1924,13100
82,Business,3,1936,10302
53,Stem,3,1957,20300
16,Other,3,1985,756
65,Professional,0,1962,12000
43,Vocational,0,2006,13000
41,Stem,1,1998,9900
13,Humanities,0,1914,10000
79,Other,4,1930,6741
34,Professional,1,1973,11900
55,Stem,3,1931,20300
15,Professional,3,2015,11700
26,Vocational,2,2005,13200
13,Business,0,2006,10005
52,Professional,0,1984,12000
27,Professional,0,1932,12000
7,Stem,0,1921,10000
90,Vocational,2,1913,13200
47,Other,1,1979,2709
30,Stem,0,1981,10000
74,Professional,1,1951,11900
96,Vocational,4,1975,13400
47,Other,0,1942,2709
77,Vocational,4,1934,13400
57,Business,0,2013,10006
12,Professional,2,1920,11800
22,Humanities,2,1983,10200
50,Other,2,1919,3000
82,Vocational,2,1925,13200
83,Stem,4,1923,20400
60,Vocational,3,1993,13300
13,Other,2,1912,669
60,Stem,2,2007,9800
22,Business,2,1907,10007
16,Professional,0,2001,12000
78,Business,2,1935,10005
24,Stem,4,1924,20400
16,Professional,3,2003,11700
40,Other,3,2010,2100
24,Stem,4,1934,20400
46,Business,0,1900,10007
5,Vocational,2,2016,13200
1,Business,4,1919,10003
52,Business,1,2020,10108
21,Business,0,1987,10005
45,Professional,0,2016,12000
95,Humanities,0,1972,10000
31,Other,4,1988,1461
21,Humanities,2,1924,10200
48,Professional,1,1947,11900
99,Vocational,2,1994,13200
59,Humanities,4,1997,10400
62,Professional,2,1964,11800
42,Business,2,1934,10205
79,Other,0,1989,6741
53,Professional,4,1908,11600
40,Humanities,0,1989,10000
16,Vocational,0,1956,13000
31,Stem,2,2010,9800
67,Stem,1,1986,9900
8,Other,2,2017,564
65,Vocational,0,1964,13000
59,Humanities,0,1918,10000
62,Business,2,2004,10202
29,Business,4,2008,10406
7,Other,2,1937,549
97,Stem,1,1961,9900
38,Professional,1,1906,11900
68,Other,4,1907,5124
62,Other,2,1956,4344
24,Humanities,3,2009,20300
89,Humanities,2,1957,10200
9,Professional,4,2015,11600
27,Business,0,2020,10008
41,Stem,0,2006,10000
42,Professional,1,1916,11900
27,Professional,0,1934,12000
89,Humanities,0,1998,10000
51,Humanities,1,1914,10100
47,Professional,3,2019,11700
0,Stem,0,2006,10000
48,Vocational,4,1981,13400
11,Professional,1,1924,11900
20,Business,3,1951,10003
55,Professional,0,1968,12000
19,Humanities,4,1961,10400
19,Humanities,0,2012,20000
83,Professional,0,1929,12000
72,Business,3,1959,10005
94,Other,2,1965,9336
58,Business,2,1921,10008
70,Business,3,1976,10305
19,Professional,3,2002,11700
34,Vocational,1,1973,13100
49,Vocational,4,1931,13400
18,Other,3,2015,824
36,Humanities,3,1999,10300
12,Professional,1,1933,11900
6,Humanities,0,1980,10000
32,Other,3,1963,1524
83,Business,3,1922,10308
97,Professional,0,2019,12000
9,Vocational,3,1953,13300
49,Professional,2,1967,11800
96,Business,0,1947,10004
67,Stem,4,1990,20400
37,Professional,4,1903,11600
92,Humanities,4,1939,10400
83,Humanities,1,1920,10100
40,Professional,4,1944,11600
22,Stem,3,1962,20300
57,Vocational,3,1971,13300
56,Vocational,4,1981,13400
24,Professional,3,1931,11700
75,Professional,4,1934,11600
1,Business,3,1910,10308
1,Professional,0,1935,12000
44,Humanities,4,1980,10400
86,Vocational,4,1946,13400
72,Business,1,2016,10107
62,Stem,0,1973,10000
12,Professional,1,1943,11900
30,Other,1,1950,1400
37,Professional,4,1900,11600
27,Other,0,1943,1229
11,Humanities,3,1919,10300
3,Business,3,1941,10008
62,Business,2,1925,10002
4,Other,1,1962,516
80,Professional,4,1904,11600
13,Other,0,1939,669
68,Business,4,1953,10005
68,Other,2,2009,5124
51,Business,0,1975,10007
18,Professional,3,1928,11700
32,Business,2,1915,10008
35,Other,4,1980,1725
54,Humanities,2,1923,10200
31,Business,3,2003,10009
78,Vocational,3,1911,13300
97,Stem,1,1913,9900
66,Humanities,0,1968,10000
85,Stem,4,1901,20400
98,Other,0,1933,10104
51,Business,3,1968,10305
21,Stem,2,1947,9800
76,Business,2,1901,10009
54,Vocational,4,1948,13400
22,Vocational,2,1973,13200
21,Vocational,2,1961,13200
0,Business,0,1901,10006
76,Business,1,1904,10103
39,Other,3,1914,2021
56,Other,4,1989,3636
32,Stem,2,1996,9800
7,Professional,3,1912,11700
51,Humanities,2,1905,10200
