Attendance,Major,Questions,Score,Seniority,Texting,Grade
75,Comm,Rare,98,Senior,Always,Pass
32,Cs,Always,37,Sophomore,Always,Fail
17,Stat,Rare,36,Sophomore,Always,Fail
28,Comm,Always,95,Junior,Rarely,Pass
54,Comm,Rare,30,Freshman,Always,Fail
70,Cs,Always,13,Sophomore,Rarely,Fail
80,Comm,Always,62,Freshman,Always,Fail
30,Polsci,Always,6,Freshman,Rarely,Pass
65,Polsci,Always,84,Freshman,Always,Pass
55,Stat,Rare,9,Junior,Always,Fail
92,Cs,Always,89,Sophomore,Rarely,Pass
61,Cs,Rare,93,Freshman,Always,Pass
98,Stat,Always,82,Senior,Always,Pass
93,Comm,Rare,41,Senior,Rarely,Pass
9,Stat,Rare,63,Junior,Rarely,Fail
32,Comm,Always,88,Freshman,Rarely,Pass
84,Cs,Rare,40,Senior,Rarely,Fail
26,Comm,Rare,97,Freshman,Always,Pass
41,Comm,Rare,60,Freshman,Rarely,Pass
50,Polsci,Rare,88,Freshman,Always,Pass
61,Polsci,Rare,50,Sophomore,Rarely,Pass
86,Polsci,Always,8,Freshman,Always,Pass
55,Cs,Rare,31,Junior,Always,Fail
19,Stat,Always,23,Senior,Rarely,Fail
22,Cs,Rare,41,Freshman,Always,Fail
20,Stat,Rare,94,Freshman,Rarely,Pass
78,Comm,Rare,41,Junior,Always,Pass
95,Stat,Always,97,Senior,Always,Pass
45,Polsci,Always,48,Senior,Always,Pass
90,Cs,Always,93,Senior,Always,Pass
48,Cs,Rare,69,Junior,Rarely,Fail
0,Polsci,Rare,77,Junior,Always,Pass
32,Stat,Always,13,Junior,Always,Fail
56,Comm,Rare,70,Freshman,Always,Fail
18,Comm,Always,82,Junior,Rarely,Pass
39,Comm,Rare,89,Sophomore,Rarely,Pass
15,Stat,Always,44,Sophomore,Always,Fail
38,Stat,Always,16,Senior,Always,Fail
36,Cs,Rare,9,Junior,Always,Fail
37,Stat,Always,28,Freshman,Rarely,Fail
5,Comm,Always,75,Junior,Always,Pass
68,Stat,Rare,70,Freshman,Always,Pass
98,Cs,Rare,46,Sophomore,Always,Fail
34,Comm,Always,84,Freshman,Rarely,Pass
14,Comm,Always,40,Sophomore,Rarely,Pass
73,Comm,Always,71,Senior,Rarely,Pass
69,Comm,Rare,66,Sophomore,Rarely,Pass
77,Cs,Always,11,Junior,Rarely,Fail
38,Cs,Always,47,Junior,Always,Fail
1,Polsci,Always,45,Sophomore,Always,Pass
37,Polsci,Always,7,Freshman,Rarely,Pass
23,Polsci,Rare,0,Freshman,Rarely,Fail
63,Comm,Always,58,Senior,Always,Pass
93,Comm,Always,56,Senior,Always,Pass
15,Stat,Always,43,Senior,Rarely,Fail
93,Stat,Always,73,Freshman,Always,Pass
98,Stat,Always,97,Freshman,Always,Pass
57,Cs,Rare,19,Freshman,Rarely,Fail
10,Stat,Rare,85,Senior,Rarely,Fail
3,Stat,Rare,30,Freshman,Always,Fail
81,Comm,Rare,35,Senior,Rarely,Fail
85,Stat,Rare,74,Senior,Always,Fail
70,Polsci,Rare,78,Junior,Always,Pass
14,Polsci,Always,2,Junior,Rarely,Pass
47,Polsci,Always,56,Sophomore,Rarely,Pass
58,Comm,Rare,41,Senior,Always,Pass
41,Stat,Rare,30,Sophomore,Rarely,Fail
46,Cs,Always,30,Freshman,Rarely,Fail
36,Comm,Always,2,Freshman,Rarely,Fail
36,Comm,Always,60,Freshman,Always,Pass
90,Polsci,Rare,46,Senior,Always,Fail
69,Polsci,Always,88,Senior,Rarely,Pass
52,Stat,Rare,21,Junior,Rarely,Fail
45,Comm,Rare,62,Junior,Rarely,Pass
27,Cs,Rare,18,Junior,Always,Fail
75,Stat,Rare,51,Junior,Always,Fail
72,Stat,Always,18,Freshman,Always,Fail
86,Stat,Always,27,Sophomore,Always,Fail
85,Stat,Rare,51,Senior,Always,Fail
59,Cs,Rare,62,Freshman,Rarely,Fail
93,Cs,Always,61,Freshman,Rarely,Fail
4,Cs,Rare,84,Sophomore,Always,Pass
83,Cs,Always,30,Junior,Always,Fail
16,Comm,Rare,16,Freshman,Always,Pass
61,Polsci,Always,48,Junior,Rarely,Fail
40,Cs,Rare,86,Junior,Always,Pass
18,Polsci,Rare,27,Sophomore,Always,Fail
12,Cs,Rare,27,Senior,Rarely,Fail
81,Polsci,Always,65,Junior,Rarely,Pass
55,Cs,Rare,37,Freshman,Rarely,Fail
61,Polsci,Rare,39,Freshman,Always,Fail
37,Stat,Always,11,Sophomore,Always,Fail
38,Comm,Always,61,Sophomore,Rarely,Pass
93,Polsci,Rare,26,Senior,Rarely,Fail
98,Polsci,Always,29,Senior,Rarely,Pass
10,Comm,Rare,57,Sophomore,Always,Pass
38,Polsci,Always,11,Freshman,Rarely,Pass
57,Cs,Rare,58,Senior,Rarely,Fail
97,Cs,Rare,99,Sophomore,Always,Pass
25,Comm,Always,49,Sophomore,Always,Pass
59,Cs,Rare,45,Sophomore,Always,Fail
26,Cs,Rare,51,Sophomore,Rarely,Pass
14,Cs,Rare,84,Freshman,Rarely,Pass
54,Polsci,Rare,29,Sophomore,Always,Fail
40,Comm,Always,90,Sophomore,Always,Pass
33,Comm,Always,52,Senior,Always,Pass
77,Stat,Rare,22,Junior,Always,Fail
57,Polsci,Rare,34,Senior,Always,Fail
80,Cs,Always,32,Sophomore,Rarely,Fail
5,Stat,Always,59,Junior,Rarely,Fail
47,Polsci,Always,41,Junior,Rarely,Pass
28,Comm,Rare,84,Freshman,Rarely,Pass
17,Comm,Always,99,Junior,Rarely,Pass
85,Comm,Always,23,Freshman,Rarely,Fail
0,Cs,Rare,52,Sophomore,Rarely,Pass
84,Polsci,Rare,51,Senior,Always,Pass
8,Polsci,Rare,98,Sophomore,Rarely,Pass
71,Cs,Rare,11,Senior,Always,Fail
8,Polsci,Always,65,Freshman,Rarely,Pass
21,Cs,Always,74,Freshman,Rarely,Pass
51,Stat,Rare,92,Sophomore,Rarely,Fail
84,Polsci,Rare,3,Sophomore,Always,Fail
84,Stat,Always,67,Junior,Rarely,Pass
98,Cs,Always,13,Sophomore,Rarely,Fail
59,Cs,Always,10,Junior,Always,Fail
82,Comm,Rare,12,Freshman,Always,Pass
88,Polsci,Always,85,Junior,Always,Pass
10,Cs,Always,99,Senior,Rarely,Pass
100,Cs,Rare,24,Junior,Rarely,Fail
79,Stat,Always,6,Junior,Always,Fail
65,Cs,Always,73,Junior,Always,Pass
21,Comm,Always,50,Junior,Always,Pass
19,Polsci,Rare,65,Junior,Rarely,Pass
61,Comm,Rare,11,Senior,Rarely,Fail
10,Stat,Rare,29,Sophomore,Always,Fail
75,Comm,Always,84,Freshman,Always,Pass
59,Cs,Rare,47,Senior,Always,Fail
53,Stat,Rare,78,Sophomore,Rarely,Pass
14,Comm,Rare,17,Senior,Rarely,Fail
58,Polsci,Always,98,Senior,Rarely,Pass
84,Cs,Rare,33,Freshman,Rarely,Fail
22,Comm,Rare,75,Senior,Rarely,Pass
75,Polsci,Always,23,Junior,Always,Pass
63,Stat,Always,93,Senior,Always,Fail
56,Polsci,Rare,47,Sophomore,Rarely,Fail
82,Polsci,Always,55,Sophomore,Rarely,Pass
83,Cs,Always,52,Sophomore,Always,Fail
39,Cs,Rare,46,Freshman,Rarely,Fail
26,Polsci,Always,49,Sophomore,Rarely,Pass
50,Polsci,Always,68,Junior,Always,Pass
23,Stat,Rare,5,Junior,Always,Fail
8,Comm,Rare,63,Sophomore,Always,Fail
13,Polsci,Always,18,Sophomore,Rarely,Pass
88,Polsci,Always,87,Senior,Rarely,Pass
81,Cs,Always,82,Senior,Always,Fail
99,Stat,Rare,37,Junior,Rarely,Fail
46,Comm,Always,42,Junior,Always,Fail
99,Comm,Rare,68,Sophomore,Rarely,Pass
31,Comm,Rare,85,Freshman,Always,Pass
19,Polsci,Rare,73,Sophomore,Always,Pass
48,Comm,Always,39,Senior,Rarely,Fail
58,Polsci,Rare,64,Senior,Rarely,Fail
22,Stat,Rare,18,Senior,Rarely,Fail
24,Stat,Rare,3,Senior,Always,Fail
41,Stat,Rare,64,Sophomore,Rarely,Fail
100,Stat,Always,88,Senior,Always,Pass
56,Stat,Rare,33,Freshman,Rarely,Fail
65,Polsci,Always,35,Sophomore,Rarely,Pass
53,Stat,Rare,2,Sophomore,Rarely,Fail
55,Comm,Rare,50,Senior,Always,Pass
84,Cs,Rare,30,Junior,Rarely,Fail
70,Cs,Always,23,Senior,Rarely,Fail
25,Comm,Always,33,Freshman,Always,Fail
55,Polsci,Rare,30,Junior,Always,Fail
8,Comm,Always,51,Senior,Rarely,Fail
67,Polsci,Always,9,Senior,Rarely,Pass
71,Stat,Always,16,Sophomore,Always,Fail
65,Polsci,Rare,22,Senior,Always,Fail
33,Cs,Always,28,Senior,Rarely,Fail
77,Polsci,Always,93,Junior,Rarely,Pass
29,Stat,Always,67,Freshman,Rarely,Pass
19,Cs,Rare,99,Freshman,Rarely,Pass
57,Comm,Always,72,Freshman,Rarely,Pass
39,Comm,Rare,60,Senior,Rarely,Pass
99,Polsci,Rare,57,Senior,Rarely,Fail
74,Polsci,Rare,39,Senior,Rarely,Fail
98,Stat,Always,29,Freshman,Always,Fail
77,Cs,Rare,30,Senior,Always,Fail
50,Stat,Rare,29,Sophomore,Rarely,Fail
58,Cs,Always,38,Sophomore,Always,Fail
36,Stat,Always,31,Freshman,Always,Fail
62,Stat,Always,82,Freshman,Rarely,Fail
30,Polsci,Always,16,Senior,Always,Pass
75,Cs,Rare,60,Freshman,Always,Fail
72,Polsci,Always,59,Senior,Rarely,Pass
46,Stat,Rare,4,Junior,Rarely,Fail
45,Comm,Rare,9,Sophomore,Always,Fail
90,Stat,Rare,32,Junior,Always,Fail
28,Comm,Always,28,Sophomore,Rarely,Fail
18,Polsci,Rare,54,Junior,Always,Fail
25,Comm,Rare,16,Junior,Always,Fail
21,Comm,Always,1,Freshman,Always,Fail
60,Comm,Always,40,Freshman,Rarely,Fail
47,Comm,Always,86,Junior,Rarely,Pass
16,Cs,Always,36,Senior,Always,Fail
48,Cs,Rare,15,Junior,Rarely,Fail
77,Cs,Always,25,Junior,Always,Fail
24,Cs,Rare,44,Sophomore,Always,Fail
23,Comm,Rare,85,Junior,Rarely,Fail
93,Comm,Always,65,Freshman,Rarely,Pass
8,Stat,Always,8,Senior,Always,Fail
18,Stat,Rare,4,Freshman,Rarely,Fail
51,Stat,Rare,85,Junior,Always,Pass
78,Cs,Always,15,Sophomore,Always,Fail
83,Cs,Rare,99,Senior,Always,Pass
38,Stat,Rare,89,Sophomore,Always,Pass
8,Stat,Always,8,Sophomore,Always,Fail
24,Comm,Always,97,Junior,Always,Pass
39,Stat,Rare,64,Freshman,Rarely,Fail
7,Cs,Rare,6,Senior,Rarely,Fail
76,Polsci,Rare,54,Junior,Rarely,Pass
61,Comm,Rare,26,Junior,Rarely,Fail
99,Comm,Rare,3,Junior,Always,Pass
81,Stat,Always,64,Senior,Always,Pass
80,Comm,Always,68,Freshman,Rarely,Pass
50,Comm,Always,56,Sophomore,Rarely,Pass
78,Cs,Rare,89,Freshman,Always,Pass
22,Cs,Always,100,Junior,Rarely,Pass
27,Polsci,Rare,0,Junior,Always,Fail
7,Polsci,Always,28,Junior,Always,Pass
38,Cs,Always,45,Freshman,Rarely,Fail
71,Cs,Rare,6,Junior,Always,Fail
38,Cs,Rare,65,Senior,Always,Fail
12,Cs,Always,30,Junior,Always,Fail
76,Stat,Always,83,Sophomore,Always,Pass
28,Polsci,Always,4,Freshman,Rarely,Pass
35,Stat,Rare,52,Sophomore,Rarely,Fail
27,Cs,Rare,61,Junior,Always,Fail
92,Cs,Always,32,Sophomore,Always,Fail
18,Cs,Always,16,Senior,Always,Fail
94,Cs,Always,57,Senior,Rarely,Fail
2,Comm,Rare,82,Freshman,Always,Pass
85,Cs,Always,31,Freshman,Always,Fail
3,Polsci,Always,58,Freshman,Rarely,Pass
88,Cs,Always,60,Sophomore,Always,Pass
66,Comm,Always,51,Senior,Rarely,Pass
3,Stat,Rare,84,Senior,Always,Pass
25,Comm,Rare,59,Senior,Rarely,Pass
24,Cs,Always,94,Freshman,Rarely,Pass
24,Comm,Rare,62,Senior,Always,Pass
18,Stat,Always,43,Senior,Rarely,Fail
20,Polsci,Always,16,Junior,Always,Pass
13,Cs,Always,57,Freshman,Rarely,Fail
7,Polsci,Rare,46,Freshman,Always,Fail
85,Comm,Always,0,Freshman,Always,Pass
4,Stat,Rare,4,Sophomore,Always,Fail
79,Polsci,Rare,3,Junior,Rarely,Fail
72,Cs,Always,69,Senior,Always,Fail
55,Stat,Always,46,Sophomore,Rarely,Fail
0,Stat,Always,94,Freshman,Rarely,Fail
63,Comm,Always,5,Junior,Always,Pass
90,Stat,Always,77,Junior,Always,Pass
96,Cs,Rare,4,Junior,Always,Fail
92,Stat,Always,95,Sophomore,Always,Pass
94,Stat,Always,60,Senior,Always,Pass
13,Cs,Always,91,Junior,Always,Pass
29,Polsci,Rare,34,Junior,Rarely,Fail
25,Stat,Always,28,Sophomore,Always,Fail
65,Polsci,Rare,50,Freshman,Always,Fail
24,Stat,Always,73,Senior,Always,Fail
88,Stat,Always,34,Sophomore,Always,Fail
69,Stat,Rare,26,Freshman,Rarely,Fail
84,Polsci,Always,94,Junior,Always,Pass
25,Comm,Always,87,Freshman,Rarely,Pass
1,Comm,Always,45,Senior,Always,Pass
1,Polsci,Rare,12,Sophomore,Rarely,Fail
4,Cs,Always,89,Freshman,Rarely,Pass
36,Cs,Rare,39,Junior,Always,Fail
78,Cs,Rare,58,Freshman,Always,Fail
38,Stat,Always,18,Freshman,Rarely,Fail
87,Stat,Always,91,Senior,Rarely,Pass
44,Cs,Always,41,Freshman,Rarely,Fail
55,Polsci,Rare,13,Freshman,Always,Fail
59,Cs,Rare,32,Junior,Always,Fail
79,Comm,Always,85,Senior,Always,Pass
62,Polsci,Rare,60,Sophomore,Rarely,Pass
44,Cs,Rare,24,Junior,Rarely,Fail
31,Cs,Always,65,Junior,Rarely,Fail
44,Cs,Rare,34,Freshman,Rarely,Fail
11,Cs,Always,82,Sophomore,Always,Pass
28,Polsci,Always,15,Sophomore,Rarely,Pass
93,Polsci,Rare,64,Junior,Always,Pass
70,Cs,Always,51,Freshman,Rarely,Fail
54,Polsci,Rare,47,Sophomore,Always,Fail
72,Stat,Rare,63,Junior,Rarely,Pass
91,Cs,Rare,27,Junior,Rarely,Fail
70,Cs,Rare,88,Senior,Rarely,Pass
32,Cs,Rare,24,Junior,Rarely,Fail
37,Comm,Rare,96,Sophomore,Rarely,Pass
71,Polsci,Always,63,Freshman,Rarely,Pass
10,Comm,Rare,25,Freshman,Always,Pass
63,Comm,Always,13,Senior,Rarely,Fail
72,Cs,Always,12,Senior,Always,Fail
21,Cs,Rare,5,Junior,Always,Fail
17,Cs,Always,96,Senior,Always,Fail
80,Polsci,Rare,11,Sophomore,Always,Fail
65,Comm,Rare,37,Freshman,Always,Fail
87,Cs,Always,14,Junior,Rarely,Fail
28,Polsci,Always,52,Freshman,Rarely,Pass
39,Polsci,Rare,66,Junior,Rarely,Fail
76,Comm,Rare,87,Junior,Always,Pass
52,Cs,Always,93,Junior,Rarely,Pass
5,Polsci,Rare,80,Junior,Rarely,Pass
26,Stat,Rare,37,Freshman,Rarely,Fail
53,Stat,Rare,29,Freshman,Always,Fail
46,Polsci,Always,66,Senior,Rarely,Fail
71,Comm,Always,12,Freshman,Rarely,Fail
9,Stat,Rare,83,Freshman,Always,Fail
37,Comm,Rare,11,Freshman,Always,Fail
95,Cs,Always,74,Senior,Always,Fail
76,Comm,Always,38,Sophomore,Rarely,Fail
33,Stat,Rare,34,Senior,Always,Fail
1,Stat,Always,17,Junior,Always,Fail
24,Polsci,Rare,51,Freshman,Rarely,Pass
3,Cs,Rare,69,Freshman,Always,Fail
65,Polsci,Always,3,Junior,Rarely,Pass
35,Polsci,Always,83,Freshman,Always,Pass
94,Cs,Always,51,Senior,Always,Fail
91,Comm,Always,7,Senior,Rarely,Fail
95,Cs,Rare,9,Sophomore,Always,Fail
70,Cs,Rare,32,Freshman,Rarely,Fail
52,Polsci,Always,6,Junior,Always,Pass
60,Polsci,Always,56,Freshman,Rarely,Pass
10,Polsci,Always,56,Junior,Always,Pass
20,Polsci,Always,6,Sophomore,Rarely,Pass
6,Comm,Always,91,Junior,Always,Pass
69,Comm,Rare,94,Junior,Rarely,Pass
3,Polsci,Rare,72,Senior,Always,Pass
8,Stat,Always,79,Freshman,Always,Pass
57,Polsci,Always,48,Junior,Rarely,Fail
3,Polsci,Rare,52,Senior,Always,Fail
100,Cs,Always,28,Junior,Always,Fail
85,Comm,Always,13,Senior,Always,Pass
58,Stat,Rare,66,Freshman,Always,Pass
34,Cs,Always,56,Senior,Always,Fail
60,Polsci,Rare,39,Freshman,Always,Fail
72,Polsci,Rare,94,Junior,Always,Pass
21,Stat,Always,7,Junior,Rarely,Fail
81,Cs,Rare,75,Junior,Rarely,Pass
16,Polsci,Rare,3,Freshman,Rarely,Fail
57,Comm,Rare,0,Senior,Rarely,Fail
79,Cs,Rare,57,Senior,Rarely,Fail
70,Comm,Always,8,Sophomore,Rarely,Fail
56,Polsci,Rare,94,Freshman,Always,Pass
35,Polsci,Rare,3,Junior,Rarely,Fail
61,Comm,Always,24,Junior,Rarely,Fail
19,Comm,Rare,37,Senior,Rarely,Fail
29,Stat,Rare,78,Sophomore,Rarely,Pass
37,Polsci,Rare,99,Sophomore,Always,Pass
1,Stat,Always,19,Junior,Rarely,Fail
21,Comm,Rare,83,Junior,Always,Pass
94,Cs,Always,17,Senior,Always,Fail
84,Comm,Rare,3,Junior,Rarely,Fail
52,Stat,Rare,29,Sophomore,Rarely,Fail
39,Comm,Always,73,Sophomore,Rarely,Pass
22,Comm,Rare,96,Junior,Always,Pass
56,Polsci,Rare,97,Sophomore,Rarely,Fail
30,Cs,Rare,66,Freshman,Rarely,Fail
55,Cs,Rare,83,Junior,Rarely,Pass
56,Stat,Rare,23,Sophomore,Rarely,Fail
0,Polsci,Always,49,Junior,Rarely,Pass
87,Polsci,Rare,86,Sophomore,Rarely,Pass
38,Cs,Rare,92,Junior,Always,Pass
75,Stat,Rare,73,Junior,Always,Pass
33,Cs,Rare,95,Sophomore,Rarely,Pass
42,Polsci,Always,5,Freshman,Rarely,Pass
34,Comm,Rare,4,Sophomore,Rarely,Fail
37,Comm,Rare,48,Senior,Rarely,Fail
89,Stat,Rare,70,Senior,Always,Fail
32,Cs,Always,81,Senior,Rarely,Pass
34,Cs,Always,28,Sophomore,Always,Fail
26,Polsci,Always,85,Junior,Rarely,Pass
52,Stat,Rare,29,Sophomore,Always,Fail
21,Stat,Rare,51,Senior,Rarely,Fail
68,Comm,Rare,3,Freshman,Always,Pass
5,Cs,Always,96,Senior,Rarely,Pass
86,Polsci,Always,4,Sophomore,Rarely,Pass
15,Comm,Rare,0,Senior,Rarely,Fail
49,Polsci,Rare,1,Sophomore,Always,Fail
17,Cs,Rare,19,Freshman,Rarely,Fail
47,Polsci,Always,61,Senior,Rarely,Pass
17,Stat,Rare,63,Junior,Always,Fail
79,Comm,Always,29,Junior,Always,Pass
76,Stat,Always,89,Junior,Rarely,Pass
28,Cs,Rare,2,Junior,Always,Fail
79,Stat,Rare,67,Sophomore,Rarely,Fail
94,Cs,Rare,69,Junior,Always,Fail
41,Comm,Rare,46,Junior,Rarely,Fail
0,Comm,Rare,74,Junior,Rarely,Pass
59,Polsci,Always,17,Freshman,Rarely,Pass
46,Polsci,Always,50,Senior,Always,Pass
42,Comm,Rare,22,Senior,Rarely,Fail
71,Polsci,Rare,90,Sophomore,Rarely,Pass
92,Stat,Rare,69,Junior,Always,Fail
26,Polsci,Rare,40,Sophomore,Always,Fail
29,Stat,Rare,58,Freshman,Rarely,Fail
77,Polsci,Rare,36,Sophomore,Always,Fail
5,Polsci,Always,19,Freshman,Always,Pass
98,Stat,Always,42,Freshman,Always,Fail
1,Cs,Rare,26,Junior,Rarely,Fail
41,Cs,Rare,34,Sophomore,Rarely,Fail
49,Comm,Always,0,Freshman,Rarely,Fail
90,Cs,Always,41,Senior,Rarely,Fail
73,Comm,Rare,22,Sophomore,Always,Pass
61,Stat,Rare,64,Sophomore,Always,Pass
52,Comm,Always,3,Freshman,Always,Pass
89,Comm,Always,40,Junior,Rarely,Pass
17,Polsci,Always,94,Freshman,Rarely,Pass
37,Comm,Always,53,Senior,Always,Pass
34,Stat,Rare,81,Freshman,Rarely,Pass
70,Comm,Always,93,Sophomore,Always,Pass
48,Cs,Always,38,Junior,Rarely,Fail
37,Polsci,Rare,46,Sophomore,Always,Fail
40,Comm,Always,92,Freshman,Always,Pass
20,Cs,Always,76,Junior,Always,Pass
18,Stat,Always,15,Freshman,Always,Fail
95,Polsci,Rare,58,Senior,Always,Pass
10,Polsci,Always,22,Senior,Always,Pass
50,Polsci,Always,30,Senior,Always,Pass
46,Polsci,Rare,17,Sophomore,Always,Fail
61,Cs,Rare,40,Freshman,Rarely,Pass
48,Stat,Always,78,Junior,Always,Pass
36,Cs,Rare,85,Sophomore,Always,Pass
44,Cs,Rare,94,Sophomore,Rarely,Pass
26,Polsci,Always,41,Junior,Rarely,Pass
74,Polsci,Rare,36,Junior,Always,Fail
47,Stat,Rare,0,Senior,Always,Fail
22,Comm,Always,92,Freshman,Always,Pass
42,Stat,Always,39,Senior,Always,Fail
39,Stat,Always,51,Sophomore,Rarely,Fail
47,Stat,Always,88,Sophomore,Rarely,Fail
49,Stat,Rare,1,Junior,Always,Fail
98,Comm,Always,57,Freshman,Rarely,Pass
54,Stat,Rare,48,Freshman,Always,Fail
2,Stat,Always,8,Senior,Rarely,Fail
32,Stat,Rare,25,Sophomore,Always,Fail
57,Cs,Always,91,Senior,Always,Pass
95,Cs,Always,22,Junior,Rarely,Fail
40,Polsci,Always,87,Junior,Always,Pass
23,Cs,Rare,41,Sophomore,Always,Fail
51,Comm,Rare,53,Sophomore,Rarely,Pass
8,Stat,Rare,89,Junior,Always,Fail
39,Stat,Rare,7,Junior,Always,Fail
98,Comm,Rare,14,Junior,Always,Pass
9,Polsci,Always,75,Freshman,Rarely,Pass
72,Cs,Rare,94,Sophomore,Always,Pass
34,Comm,Rare,64,Senior,Rarely,Pass
49,Stat,Always,45,Freshman,Always,Fail
89,Cs,Rare,28,Sophomore,Always,Fail
11,Cs,Always,70,Junior,Always,Pass
70,Stat,Rare,83,Freshman,Always,Pass
13,Polsci,Always,8,Senior,Rarely,Pass
55,Polsci,Always,0,Junior,Rarely,Pass
62,Cs,Rare,4,Junior,Rarely,Fail
21,Polsci,Always,88,Freshman,Always,Pass
68,Comm,Rare,81,Sophomore,Always,Pass
65,Cs,Rare,25,Sophomore,Rarely,Fail
20,Comm,Rare,25,Senior,Rarely,Fail
55,Polsci,Rare,43,Freshman,Always,Fail
40,Cs,Rare,37,Junior,Always,Fail
59,Stat,Always,66,Freshman,Always,Pass
82,Polsci,Always,23,Junior,Rarely,Pass
7,Polsci,Always,72,Junior,Always,Pass
50,Cs,Always,79,Senior,Always,Pass
64,Comm,Rare,2,Sophomore,Always,Fail
82,Stat,Rare,12,Senior,Always,Fail
88,Comm,Always,1,Senior,Always,Pass
28,Cs,Rare,48,Sophomore,Always,Fail
94,Polsci,Always,89,Senior,Rarely,Fail
5,Polsci,Rare,27,Senior,Rarely,Fail
86,Polsci,Rare,79,Sophomore,Always,Pass
41,Comm,Rare,31,Freshman,Always,Pass
63,Stat,Rare,30,Junior,Rarely,Fail
57,Cs,Always,75,Sophomore,Always,Pass
93,Polsci,Rare,3,Sophomore,Rarely,Fail
59,Cs,Rare,60,Junior,Rarely,Fail
72,Comm,Rare,86,Freshman,Rarely,Pass
2,Stat,Rare,11,Sophomore,Rarely,Fail
22,Cs,Always,36,Sophomore,Rarely,Fail
25,Cs,Rare,88,Sophomore,Rarely,Pass
12,Polsci,Rare,59,Sophomore,Rarely,Fail
38,Stat,Rare,63,Junior,Rarely,Pass
92,Polsci,Always,45,Senior,Always,Pass
4,Stat,Rare,95,Freshman,Rarely,Pass
56,Stat,Rare,41,Freshman,Rarely,Fail
9,Polsci,Rare,57,Junior,Always,Pass
11,Stat,Always,15,Junior,Rarely,Fail
17,Stat,Rare,36,Freshman,Rarely,Fail
4,Stat,Rare,76,Senior,Always,Pass
50,Cs,Always,99,Senior,Always,Pass
8,Comm,Rare,27,Junior,Always,Pass
55,Cs,Rare,51,Freshman,Always,Fail
24,Polsci,Always,82,Junior,Always,Fail
83,Comm,Rare,23,Freshman,Always,Fail
44,Cs,Rare,90,Senior,Always,Pass
88,Comm,Rare,22,Sophomore,Rarely,Fail
32,Polsci,Rare,58,Freshman,Rarely,Pass
53,Polsci,Rare,34,Senior,Rarely,Fail
24,Comm,Always,8,Senior,Rarely,Fail
59,Stat,Rare,63,Sophomore,Rarely,Fail
46,Comm,Rare,14,Freshman,Rarely,Fail
99,Comm,Always,49,Senior,Rarely,Pass
16,Polsci,Rare,10,Junior,Rarely,Fail
39,Polsci,Rare,99,Junior,Rarely,Fail
45,Cs,Always,77,Junior,Always,Fail
2,Comm,Rare,54,Freshman,Rarely,Pass
66,Polsci,Always,91,Senior,Always,Fail
33,Cs,Always,78,Freshman,Always,Pass
58,Polsci,Always,65,Senior,Rarely,Pass
31,Polsci,Always,94,Sophomore,Always,Pass
37,Stat,Rare,45,Freshman,Rarely,Fail
44,Stat,Always,32,Sophomore,Always,Fail
100,Stat,Rare,40,Junior,Always,Fail
26,Stat,Always,15,Freshman,Rarely,Fail
