Doze,Participation,Question,Score,Text,Grade
Never,69,Always,99,Always,A
Never,91,Never,88,Never,B
Never,25,Never,83,Never,B
Never,31,Never,83,Never,A
Never,66,Never,21,Never,C
Always,95,Never,98,Sometimes,B
Always,29,Always,82,Always,A
Never,52,Never,99,Never,A
Always,30,Never,81,Never,A
Never,62,Always,70,Never,C
Always,29,Always,40,Always,F
Never,8,Never,39,Always,D
Never,61,Never,59,Sometimes,F
Always,6,Never,50,Always,C
Never,64,Never,85,Always,A
Always,100,Never,38,Sometimes,D
Always,52,Never,27,Sometimes,C
Never,19,Never,99,Sometimes,B
Never,95,Never,71,Always,B
Never,60,Never,54,Never,F
Always,24,Never,11,Sometimes,F
Never,44,Never,10,Always,A
Never,13,Never,53,Sometimes,C
Never,99,Never,81,Always,B
Always,35,Always,20,Never,F
Never,40,Always,42,Always,C
Always,26,Never,43,Sometimes,D
Always,0,Always,58,Never,C
Never,6,Always,3,Never,F
Always,58,Always,28,Sometimes,C
Never,51,Never,81,Sometimes,B
Never,99,Never,11,Always,D
Always,90,Never,69,Always,C
Always,99,Always,6,Always,B
Never,8,Always,91,Always,A
Always,54,Always,66,Sometimes,C
Always,32,Never,79,Always,D
Always,66,Always,89,Sometimes,A
Never,40,Never,38,Sometimes,C
Always,66,Always,76,Always,C
Always,52,Never,86,Never,B
Always,9,Always,15,Sometimes,F
Always,62,Always,89,Always,A
Never,8,Never,84,Sometimes,A
Never,23,Never,89,Never,A
Always,30,Always,15,Never,F
Never,51,Always,4,Always,F
Always,3,Never,26,Never,F
Never,10,Always,7,Always,F
Never,93,Never,89,Never,A
Never,40,Never,34,Sometimes,D
Never,64,Always,83,Always,A
Never,69,Never,39,Sometimes,D
Never,78,Never,68,Sometimes,B
Never,57,Never,69,Always,B
Never,52,Always,27,Sometimes,D
Always,84,Always,13,Always,C
Never,0,Never,24,Sometimes,F
Never,61,Never,68,Always,B
Always,52,Never,100,Always,B
Always,13,Never,95,Never,A
Always,22,Never,43,Sometimes,F
Always,85,Never,68,Never,C
Never,22,Always,33,Never,D
Always,12,Always,59,Sometimes,C
Always,31,Always,67,Never,C
Always,44,Never,63,Never,C
Never,50,Never,19,Always,F
Always,95,Always,89,Always,A
Never,57,Always,19,Sometimes,D
Always,28,Always,23,Sometimes,F
Never,56,Never,48,Always,B
Always,55,Never,74,Sometimes,C
Never,7,Always,63,Sometimes,B
Always,3,Never,92,Never,A
Never,71,Never,9,Sometimes,C
Never,74,Never,49,Sometimes,F
Always,49,Always,9,Always,C
Always,55,Never,49,Always,A
Never,68,Always,38,Sometimes,F
Always,27,Always,57,Never,C
Never,89,Always,87,Never,A
Never,21,Always,33,Always,F
Always,43,Always,86,Sometimes,A
Never,79,Never,45,Never,D
Always,33,Always,1,Always,F
Always,4,Always,89,Sometimes,A
Never,37,Always,71,Always,D
Never,13,Always,65,Sometimes,D
Always,18,Never,90,Never,B
Always,98,Never,56,Always,C
Always,31,Always,76,Never,C
Never,30,Always,9,Always,F
Always,2,Never,35,Always,F
Always,49,Never,17,Sometimes,C
Always,10,Always,18,Never,D
Never,3,Never,85,Never,B
Never,47,Always,8,Always,A
Never,12,Always,36,Sometimes,D
Always,84,Never,95,Never,A
Always,96,Always,94,Always,A
Always,98,Always,35,Never,D
Never,42,Never,66,Always,C
Always,96,Never,52,Always,C
Always,70,Always,79,Sometimes,C
Always,43,Always,86,Sometimes,A
Always,58,Never,86,Always,B
Always,94,Always,24,Always,B
Never,92,Always,39,Always,F
Never,18,Never,20,Sometimes,D
Always,56,Never,35,Always,C
Never,82,Always,27,Never,C
Always,44,Never,30,Always,D
Never,39,Always,52,Always,A
Always,64,Never,99,Never,B
Always,11,Never,32,Sometimes,F
Never,79,Always,47,Never,C
Never,28,Always,90,Sometimes,A
Never,47,Always,9,Sometimes,D
Never,52,Always,91,Sometimes,A
Always,2,Never,13,Never,F
Never,32,Never,55,Always,F
Always,79,Never,79,Never,C
Always,69,Always,37,Always,D
Always,97,Always,95,Sometimes,A
Always,67,Always,26,Always,C
Never,28,Never,71,Never,B
Always,36,Never,32,Always,F
Never,77,Never,6,Always,A
Never,20,Always,86,Never,A
Always,89,Never,12,Never,C
Never,60,Always,33,Sometimes,C
Never,88,Never,86,Sometimes,A
Always,88,Always,78,Always,D
Never,63,Always,24,Always,F
Always,38,Never,47,Never,F
Never,29,Never,70,Sometimes,D
Never,43,Never,98,Never,B
Never,2,Always,99,Sometimes,A
Always,21,Never,57,Never,C
Always,4,Always,34,Always,D
Always,31,Always,1,Sometimes,F
Never,86,Always,90,Always,A
Always,93,Never,52,Never,C
Never,46,Always,85,Sometimes,A
Always,34,Always,78,Never,D
Never,39,Always,5,Sometimes,F
Never,14,Always,91,Always,A
Never,28,Always,1,Never,F
Never,36,Never,35,Sometimes,F
Never,46,Never,31,Never,D
Never,66,Always,77,Never,A
Always,99,Never,43,Always,B
Always,32,Never,41,Never,F
Always,7,Never,78,Never,C
Never,38,Always,63,Never,A
Never,28,Never,96,Never,A
Always,5,Always,95,Sometimes,A
Never,49,Never,92,Always,A
Always,11,Never,65,Sometimes,C
Never,100,Never,11,Always,A
Always,30,Never,100,Sometimes,B
Always,53,Never,71,Sometimes,C
Never,43,Always,60,Always,A
Never,3,Never,23,Always,D
Never,96,Never,34,Always,F
Never,73,Never,91,Always,B
Always,44,Never,70,Never,C
Never,81,Never,89,Sometimes,B
Always,76,Never,57,Never,C
Always,5,Always,37,Never,F
Never,86,Never,33,Always,A
Never,81,Never,29,Always,C
Never,71,Always,95,Sometimes,A
Always,52,Never,85,Always,B
Always,3,Always,22,Sometimes,F
Always,30,Never,13,Never,F
Always,94,Never,96,Sometimes,B
Never,63,Never,45,Sometimes,F
Never,53,Never,4,Never,D
Always,91,Always,54,Always,D
Always,96,Never,5,Sometimes,C
Always,25,Never,38,Never,F
Never,9,Always,59,Never,D
Never,3,Always,7,Sometimes,F
Never,64,Always,100,Sometimes,A
Always,39,Always,2,Sometimes,D
Never,58,Never,45,Always,D
Always,21,Never,31,Sometimes,F
Never,80,Always,40,Always,D
Always,13,Never,28,Always,F
Always,3,Never,6,Sometimes,F
Always,42,Always,41,Sometimes,C
Always,90,Always,43,Never,D
Never,48,Always,30,Never,F
Always,18,Never,70,Sometimes,C
Always,25,Never,79,Always,C
Always,26,Never,7,Never,F
Never,50,Never,63,Never,B
Always,50,Never,64,Never,C
Always,14,Always,85,Always,A
Always,71,Always,10,Always,F
Always,33,Never,28,Sometimes,D
Never,64,Always,98,Sometimes,A
Never,90,Always,38,Always,C
Always,7,Never,20,Sometimes,F
Never,38,Always,23,Never,D
Never,94,Always,1,Always,C
Never,46,Never,37,Sometimes,F
Never,64,Always,72,Never,D
Always,91,Always,86,Sometimes,A
Never,99,Always,70,Sometimes,C
Never,52,Always,56,Sometimes,A
Never,58,Never,44,Never,F
Never,87,Always,83,Always,A
Never,96,Always,89,Sometimes,A
Always,12,Always,71,Never,C
Always,74,Never,0,Always,A
Never,48,Never,96,Never,B
Never,50,Always,90,Always,A
Never,5,Never,41,Always,F
Always,76,Always,84,Never,A
Never,100,Always,81,Never,A
Never,57,Always,55,Always,A
Never,9,Always,66,Never,A
Always,16,Never,60,Always,C
Always,69,Never,82,Never,B
Never,69,Always,81,Sometimes,A
Always,89,Always,58,Never,C
Never,24,Always,81,Never,A
Never,65,Always,46,Always,C
Always,54,Never,42,Never,F
Never,73,Always,67,Sometimes,D
Never,31,Never,22,Never,F
Always,66,Always,54,Never,D
Always,72,Never,8,Always,D
Always,43,Never,80,Always,B
Never,89,Always,65,Always,A
Always,83,Never,44,Always,B
Always,98,Always,92,Always,A
Always,70,Never,98,Sometimes,B
Always,21,Never,54,Sometimes,C
Never,96,Always,64,Sometimes,C
Always,56,Always,66,Always,C
Always,16,Always,73,Never,C
Always,13,Always,4,Never,F
Always,58,Never,49,Never,F
Always,58,Always,14,Always,B
Never,3,Always,52,Sometimes,F
Always,95,Always,49,Always,A
Always,9,Always,17,Never,F
Never,41,Always,75,Never,F
Always,42,Always,97,Never,A
Never,60,Always,15,Never,F
Always,55,Never,99,Never,B
Never,80,Never,86,Always,A
Always,23,Never,58,Sometimes,D
Always,42,Always,10,Sometimes,F
Always,21,Never,67,Always,C
Never,35,Always,64,Always,F
Never,20,Never,78,Always,C
Always,75,Always,43,Never,C
Never,67,Never,72,Always,A
Always,27,Never,62,Sometimes,C
Never,54,Never,8,Sometimes,F
Always,99,Always,48,Sometimes,D
Always,51,Always,49,Never,D
Always,0,Always,45,Sometimes,F
Always,27,Never,2,Always,F
Never,78,Never,28,Never,C
Never,65,Always,37,Always,A
Always,50,Always,100,Sometimes,A
Never,55,Always,0,Sometimes,C
Always,23,Always,79,Sometimes,C
Never,84,Never,13,Sometimes,D
Never,85,Always,1,Never,C
Never,56,Never,72,Never,A
Never,2,Never,3,Never,F
Never,76,Never,48,Always,F
Never,19,Always,88,Always,B
Always,68,Never,2,Never,C
Always,23,Never,54,Never,C
Never,96,Never,15,Never,C
Never,60,Always,88,Never,A
Never,79,Always,89,Never,A
Never,15,Never,92,Sometimes,B
Always,29,Always,39,Always,F
Never,6,Never,34,Never,F
Always,83,Never,72,Sometimes,C
Always,49,Never,64,Sometimes,C
Always,80,Always,91,Never,A
Always,16,Never,34,Never,F
Never,58,Never,75,Never,B
Always,25,Always,9,Sometimes,F
Never,2,Never,38,Never,F
Never,62,Always,34,Sometimes,C
Always,5,Never,2,Never,F
Always,8,Always,9,Sometimes,F
Never,5,Always,39,Sometimes,F
Always,57,Always,52,Never,C
Never,87,Never,48,Sometimes,C
Never,44,Never,97,Never,B
Never,50,Always,21,Always,D
Always,66,Always,29,Sometimes,D
Never,65,Always,8,Sometimes,D
Always,24,Always,71,Always,C
Always,98,Never,50,Always,C
Always,11,Never,80,Always,B
Always,38,Always,53,Never,D
Never,56,Always,29,Always,C
Always,69,Always,40,Always,B
Always,40,Never,66,Always,C
Always,83,Always,88,Never,A
Never,97,Always,76,Always,D
Never,45,Always,38,Never,C
Never,89,Never,94,Always,B
Always,23,Always,25,Sometimes,D
Never,27,Always,72,Never,D
Always,37,Never,62,Always,C
Always,31,Always,48,Sometimes,F
Always,14,Never,92,Sometimes,B
Never,79,Never,2,Never,F
Never,93,Always,32,Never,D
Always,70,Always,49,Sometimes,C
Never,78,Always,97,Sometimes,B
Never,75,Always,35,Never,C
Always,60,Never,63,Always,C
Always,96,Never,65,Never,C
Never,72,Always,71,Sometimes,D
Always,39,Always,31,Always,F
Always,49,Never,41,Never,C
Never,20,Always,72,Sometimes,B
Never,33,Always,70,Sometimes,A
Always,64,Always,10,Never,D
Never,11,Always,42,Always,F
Always,5,Always,89,Always,A
Always,24,Always,30,Never,F
Always,68,Always,4,Always,B
Always,37,Always,99,Sometimes,B
Never,97,Never,91,Sometimes,B
Always,56,Always,12,Always,A
Always,24,Never,22,Always,D
Never,59,Always,89,Always,A
Never,71,Never,95,Always,B
Always,95,Never,4,Sometimes,D
Always,40,Never,99,Never,B
Always,13,Never,6,Always,F
Never,53,Always,98,Never,A
Never,49,Never,89,Never,A
Always,25,Never,58,Always,C
Never,99,Always,62,Never,C
Never,14,Always,23,Always,F
Never,68,Always,22,Never,C
Always,99,Never,99,Sometimes,B
Never,35,Always,2,Sometimes,D
Never,55,Never,24,Sometimes,C
Always,58,Always,37,Sometimes,C
Never,26,Never,93,Never,B
Never,63,Always,45,Always,C
Always,43,Never,22,Never,C
Never,32,Never,76,Sometimes,C
Always,95,Always,58,Sometimes,C
Never,85,Never,42,Never,F
Always,49,Never,93,Always,A
Never,7,Always,27,Never,F
Always,37,Always,96,Never,A
Always,37,Never,78,Always,C
Never,51,Always,90,Sometimes,A
Always,22,Always,12,Always,F
Always,34,Never,68,Always,C
Never,100,Always,0,Sometimes,C
Always,17,Never,75,Always,C
Never,76,Always,85,Never,A
Never,82,Always,28,Sometimes,F
Always,49,Always,34,Never,F
Always,20,Always,24,Never,F
Always,13,Always,89,Always,A
Never,50,Never,98,Never,A
Never,52,Never,53,Never,B
Always,18,Never,34,Always,F
Never,77,Always,7,Sometimes,D
Never,45,Always,54,Never,A
Never,85,Always,48,Always,C
Never,28,Never,62,Always,C
Always,75,Always,35,Never,D
Always,85,Always,34,Sometimes,D
Always,4,Never,67,Sometimes,D
Always,58,Always,43,Never,F
Never,17,Always,44,Never,F
Always,71,Always,97,Always,A
Always,55,Never,38,Never,C
Never,79,Always,37,Always,A
Always,6,Always,4,Always,F
Always,57,Never,85,Never,B
Never,25,Never,53,Never,A
Never,98,Never,20,Never,F
Always,61,Always,53,Never,C
Never,43,Always,35,Always,F
Never,44,Never,2,Sometimes,D
Never,95,Never,59,Always,D
Always,60,Never,35,Sometimes,D
Always,50,Never,76,Always,D
Never,55,Always,83,Sometimes,A
Always,49,Never,98,Always,B
Never,2,Never,0,Always,F
Never,81,Never,56,Sometimes,C
Never,100,Always,69,Always,A
Never,48,Never,37,Never,C
Always,96,Never,12,Always,C
Never,33,Never,38,Never,F
Never,64,Always,67,Sometimes,B
Never,98,Never,43,Sometimes,D
Always,67,Never,66,Never,C
Always,1,Always,56,Sometimes,C
Always,62,Never,99,Never,B
Never,28,Never,60,Sometimes,B
Always,70,Always,71,Always,D
Never,42,Always,21,Always,B
Always,68,Never,26,Never,F
Always,76,Never,94,Never,A
Never,32,Never,61,Always,B
Never,35,Never,75,Never,B
Never,76,Never,59,Never,A
Never,94,Never,40,Sometimes,C
Always,0,Always,91,Never,B
Always,4,Always,82,Sometimes,A
Always,74,Always,91,Never,A
Never,30,Always,3,Sometimes,F
Never,98,Never,78,Never,A
Never,12,Never,61,Never,D
Always,75,Never,6,Always,C
Always,77,Always,3,Sometimes,C
Always,60,Always,43,Sometimes,F
Never,95,Never,7,Always,B
Always,99,Always,27,Sometimes,C
Always,74,Always,3,Sometimes,D
Always,89,Never,34,Sometimes,D
Always,85,Always,99,Sometimes,A
Never,76,Never,80,Sometimes,B
Always,86,Never,76,Never,D
Never,28,Never,76,Sometimes,D
Always,75,Never,22,Never,D
Never,23,Never,46,Never,F
Always,4,Always,64,Sometimes,D
Never,20,Always,47,Sometimes,D
Always,98,Always,65,Never,D
Never,35,Always,6,Sometimes,D
Never,88,Always,48,Never,F
Never,11,Always,52,Never,C
Always,93,Never,56,Never,D
Always,76,Never,66,Never,C
Always,61,Never,8,Always,D
Never,42,Never,21,Sometimes,F
Never,32,Always,31,Never,F
Never,34,Always,30,Never,F
Never,32,Never,82,Always,B
Never,32,Never,85,Always,B
Never,10,Never,12,Sometimes,D
Never,8,Always,13,Never,F
Never,12,Always,0,Sometimes,F
Always,93,Never,70,Always,C
Always,29,Always,77,Never,C
Never,32,Always,50,Never,C
Never,89,Never,47,Always,C
Never,81,Never,100,Always,A
Never,27,Always,71,Always,A
Always,67,Never,27,Sometimes,C
Always,63,Always,90,Never,A
Never,6,Never,27,Always,D
Always,79,Always,74,Always,C
Always,46,Never,71,Sometimes,D
Never,48,Never,44,Always,A
Never,47,Never,37,Always,C
Never,54,Always,51,Sometimes,C
Always,45,Always,48,Never,C
Always,82,Never,25,Sometimes,D
Never,37,Always,81,Always,A
Never,15,Always,44,Sometimes,F
Always,48,Always,14,Always,A
Always,61,Always,52,Never,D
Always,88,Always,53,Always,C
Always,18,Always,40,Never,F
Never,23,Always,70,Sometimes,A
Never,64,Always,99,Sometimes,A
Always,58,Always,55,Never,C
Never,46,Never,38,Always,C
Never,61,Always,85,Never,A
Never,89,Never,24,Never,F
Always,79,Never,63,Sometimes,C
Never,92,Always,3,Sometimes,D
Never,13,Always,55,Sometimes,A
Always,37,Always,93,Sometimes,A
Never,28,Never,49,Always,F
Never,25,Always,21,Never,F
Never,75,Never,55,Always,A
Always,5,Never,14,Never,D
Never,79,Never,75,Always,A
Never,15,Always,16,Always,F
Never,83,Always,6,Always,D
Always,77,Always,52,Always,C
Never,17,Always,62,Sometimes,D
Never,86,Always,2,Never,F
Always,58,Always,60,Always,C
Never,22,Always,49,Never,F
Always,24,Never,77,Never,C
Never,75,Never,60,Never,B
Never,64,Never,56,Always,B
Never,81,Never,4,Never,C
Always,98,Never,57,Never,C
Always,4,Never,36,Always,F
Always,64,Never,66,Sometimes,C
Always,86,Never,8,Sometimes,D
Never,56,Never,43,Never,C
Never,56,Never,22,Sometimes,D
Never,10,Never,92,Never,A
Never,65,Always,77,Never,D
Always,8,Never,30,Never,D
Never,8,Always,97,Always,A
Always,4,Always,22,Always,F
Never,35,Always,89,Never,A
Always,98,Always,5,Sometimes,D
Always,36,Always,89,Sometimes,A
Always,32,Always,90,Never,A
Never,84,Always,84,Always,A
Never,77,Always,15,Always,D
Never,5,Always,61,Never,C
Never,19,Always,57,Never,D
Never,64,Never,9,Never,C
Always,23,Never,51,Never,C
Always,56,Never,71,Sometimes,D
Never,61,Always,98,Sometimes,A
Never,93,Always,13,Sometimes,D
Never,53,Never,34,Sometimes,C
Never,31,Never,71,Always,C
Always,52,Always,3,Never,C
Never,75,Always,82,Sometimes,A
Never,94,Never,17,Never,C
Always,60,Never,73,Sometimes,D
Never,53,Always,75,Sometimes,D
Never,22,Always,69,Sometimes,D
Never,29,Always,70,Sometimes,D
Never,3,Always,100,Never,A
Never,70,Never,32,Never,F
Never,73,Always,23,Never,C
Never,74,Never,100,Never,A
Always,87,Never,84,Never,A
Always,85,Always,64,Always,C
Always,14,Never,2,Always,F
Never,25,Always,10,Always,D
Always,49,Always,9,Sometimes,D
Always,9,Always,82,Never,A
Always,1,Never,32,Never,F
Never,48,Never,34,Never,D
Always,53,Always,90,Sometimes,A
Never,63,Always,78,Never,C
Always,16,Always,13,Never,F
Always,99,Never,8,Sometimes,F
Never,97,Always,35,Sometimes,C
Always,8,Always,9,Never,D
Always,4,Always,1,Never,F
Always,68,Always,32,Always,D
Always,0,Never,26,Never,F
Never,81,Never,8,Never,C
Never,63,Never,64,Always,F
Never,8,Always,70,Always,B
Always,60,Never,81,Always,B
Never,87,Never,95,Sometimes,B
Never,4,Never,32,Never,D
Always,82,Always,61,Always,C
Always,80,Never,0,Never,C
Always,21,Never,72,Always,C
Always,53,Never,82,Never,B
Always,4,Always,72,Never,C
Never,90,Always,41,Never,D
Never,79,Always,45,Always,B
Always,93,Never,3,Never,C
Never,23,Never,50,Always,A
Always,24,Never,8,Always,F
Always,83,Always,83,Always,B
Always,25,Always,82,Always,A
Always,60,Never,95,Never,B
Always,83,Never,6,Never,D
Always,60,Always,92,Never,A
Always,30,Never,27,Never,F
Never,16,Always,18,Sometimes,D
Never,98,Always,50,Never,F
Never,93,Always,76,Never,B
Never,74,Always,48,Never,C
Always,93,Never,2,Never,C
Never,64,Never,72,Never,C
Never,45,Never,11,Always,A
Always,29,Always,35,Sometimes,D
Always,42,Never,82,Always,B
Always,45,Never,33,Always,D
Never,72,Never,98,Sometimes,B
Always,11,Never,76,Never,D
Always,62,Always,53,Never,C
Always,70,Never,90,Always,B
Always,32,Never,33,Always,F
Never,37,Always,1,Always,D
Never,51,Always,36,Sometimes,C
Never,46,Always,41,Always,C
Never,76,Never,8,Always,F
Never,67,Always,53,Sometimes,B
Always,1,Always,66,Sometimes,C
Never,30,Never,98,Never,A
Always,47,Always,36,Always,B
Always,23,Always,53,Sometimes,C
Never,67,Never,60,Always,B
Never,70,Never,51,Always,A
Never,87,Always,79,Sometimes,C
Always,40,Always,35,Sometimes,D
Always,99,Always,57,Never,C
Never,95,Always,77,Sometimes,B
Always,72,Always,37,Always,C
Never,89,Always,31,Always,C
Always,20,Never,52,Sometimes,C
Always,79,Always,33,Always,C
Always,41,Never,50,Never,C
Always,7,Always,19,Always,F
Never,13,Never,62,Always,C
Never,23,Never,18,Always,F
Never,6,Never,1,Never,F
Always,57,Never,74,Always,C
Never,18,Always,50,Never,F
Never,84,Always,18,Never,D
Never,89,Never,39,Sometimes,C
Never,96,Never,49,Always,D
Always,85,Always,75,Sometimes,C
Never,68,Never,42,Always,B
Never,91,Never,35,Always,B
Never,86,Always,70,Never,D
Never,18,Always,61,Sometimes,B
Never,6,Always,10,Always,F
Never,54,Never,88,Sometimes,A
Always,6,Never,54,Sometimes,D
Always,45,Never,53,Never,C
Always,77,Always,29,Never,C
Always,94,Never,25,Never,C
Never,90,Never,23,Always,C
Never,58,Always,100,Always,A
Always,79,Never,58,Sometimes,C
Always,92,Never,47,Never,C
Never,76,Never,85,Sometimes,B
Never,75,Always,11,Never,D
Always,13,Always,41,Always,F
Always,97,Always,44,Never,C
Always,72,Always,30,Always,F
Always,79,Never,42,Always,C
Never,26,Never,92,Sometimes,B
Never,40,Always,74,Always,B
Never,28,Never,84,Sometimes,A
Never,74,Always,25,Never,C
Never,28,Always,50,Always,F
Never,72,Never,13,Sometimes,C
Always,25,Never,66,Never,C
Never,80,Never,99,Sometimes,B
Always,19,Never,8,Always,F
Always,20,Always,88,Always,A
Never,84,Always,94,Never,A
Never,64,Never,0,Sometimes,D
Always,67,Never,81,Always,B
Never,10,Always,86,Always,A
Always,10,Never,39,Never,F
Always,90,Always,38,Always,B
Always,40,Always,73,Always,C
Never,79,Always,94,Always,B
Never,72,Never,74,Sometimes,C
Always,35,Never,13,Never,D
Always,45,Always,30,Sometimes,D
Never,0,Always,74,Sometimes,F
Never,39,Always,14,Always,D
Always,87,Always,21,Always,D
Never,98,Always,99,Sometimes,A
Never,26,Never,0,Sometimes,F
Never,91,Never,53,Sometimes,B
Always,38,Always,14,Always,F
Never,83,Never,33,Never,C
Never,14,Always,96,Never,B
Never,53,Never,86,Never,B
Never,16,Never,43,Always,F
Never,55,Always,87,Never,A
Always,72,Never,98,Sometimes,A
Always,4,Never,44,Never,F
Always,69,Never,27,Sometimes,D
Always,54,Always,43,Always,F
Always,53,Never,44,Always,C
Never,2,Always,35,Never,F
Always,6,Never,10,Never,D
Always,75,Always,0,Sometimes,D
Always,63,Always,7,Never,C
Always,97,Always,34,Sometimes,D
Never,20,Never,100,Never,A
Always,51,Always,67,Never,C
Never,17,Never,10,Never,F
Always,5,Never,0,Always,F
Never,20,Never,98,Never,B
Never,74,Always,53,Never,A
Never,31,Never,17,Sometimes,F
Always,15,Always,28,Sometimes,D
Always,60,Never,42,Sometimes,F
Never,40,Always,13,Never,C
Never,65,Always,81,Never,A
Always,42,Never,70,Sometimes,D
Always,98,Always,0,Always,C
Never,56,Never,9,Never,C
Never,51,Always,42,Sometimes,C
Always,95,Never,55,Always,C
Never,28,Always,85,Never,A
Always,93,Always,66,Never,C
Always,57,Never,88,Always,A
Never,79,Never,33,Sometimes,C
Never,74,Never,87,Always,A
Always,70,Never,8,Never,C
Always,96,Never,46,Never,C
Always,81,Never,93,Never,B
Always,8,Always,58,Always,D
Never,64,Never,85,Sometimes,B
Never,66,Never,9,Always,B
Always,74,Always,90,Always,A
Always,14,Always,90,Sometimes,A
Always,24,Always,4,Always,F
Never,56,Never,55,Never,D
Never,41,Never,74,Always,C
Always,68,Always,24,Never,C
Never,47,Always,68,Never,A
Never,81,Always,75,Always,F
Never,20,Never,55,Never,D
Never,69,Never,59,Never,A
Never,69,Always,28,Sometimes,F
Always,76,Always,2,Always,B
Always,98,Always,22,Sometimes,C
Always,67,Never,20,Never,F
Never,88,Always,86,Always,A
Always,38,Always,17,Always,F
Always,34,Always,96,Never,A
Never,27,Always,34,Never,F
Always,43,Never,73,Sometimes,C
Always,0,Always,9,Always,F
Always,23,Never,74,Always,C
Never,10,Never,95,Sometimes,B
Never,76,Always,76,Always,B
Always,55,Never,84,Sometimes,B
Always,34,Always,15,Always,F
Always,57,Never,28,Sometimes,C
Never,61,Always,79,Never,B
Never,8,Always,16,Always,F
Always,30,Always,52,Always,C
Always,83,Always,59,Sometimes,C
Never,36,Never,74,Sometimes,D
Always,24,Never,81,Never,B
Always,100,Never,87,Sometimes,B
Always,17,Never,67,Never,C
Never,3,Always,80,Sometimes,A
Always,57,Never,90,Sometimes,B
Never,82,Never,39,Sometimes,C
Never,58,Never,46,Sometimes,C
Always,97,Never,14,Always,C
Never,13,Always,19,Sometimes,F
Never,71,Never,61,Never,A
Never,64,Always,5,Always,F
Never,17,Always,75,Sometimes,B
Never,0,Never,66,Always,B
Always,35,Never,74,Always,C
Never,69,Always,50,Always,D
Never,2,Always,38,Never,F
Never,50,Always,33,Never,F
Never,92,Always,18,Sometimes,C
Never,71,Always,73,Never,C
Never,18,Never,18,Always,F
Never,12,Always,86,Sometimes,A
Always,30,Never,99,Always,B
Never,45,Never,10,Never,C
Always,97,Never,15,Sometimes,C
Always,39,Never,64,Sometimes,D
Always,46,Never,9,Always,C
Always,40,Always,96,Sometimes,A
Always,86,Never,62,Never,C
Always,52,Always,26,Sometimes,D
Always,41,Never,74,Never,C
Always,68,Always,83,Never,A
Never,79,Always,87,Sometimes,A
Never,63,Never,12,Never,C
Never,83,Always,9,Sometimes,D
Always,94,Always,70,Never,C
Never,74,Always,84,Sometimes,A
Never,95,Always,96,Never,B
Never,99,Never,31,Always,C
Never,8,Never,53,Never,C
Always,19,Always,27,Sometimes,D
Never,17,Always,64,Always,D
Always,49,Never,17,Never,F
Never,97,Never,18,Always,A
Never,53,Always,74,Sometimes,D
Never,44,Never,72,Sometimes,F
Never,81,Never,95,Always,B
Always,69,Always,19,Sometimes,D
Always,83,Always,53,Sometimes,C
